matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr
heart01_A_transviso_forward_dt0005_fv,48916,4717,4717,0,r,8.1e-05,0,10.370151,6,16,16502,32414,33.735,43529,5387,88.98700000000001,36010,12906,73.616,63.484352,64.282372,68.182144,63.499138,60.187744,57.390305,61.259327,0.987586,0.931099,0.999767,1.054772,1.106186,1.036321,0.0,2.12386e-08,2.03965e-09,1.66822e-08,1.67679e-08,1.67679e-08,1.67679e-08
heart01_A_uniform_forward_dt0001_fv,48916,4717,4717,0,r,6e-06,0,10.370151,6,16,45636,3280,93.29499999999999,43019,5897,87.945,34102,14814,69.715,55.846432,56.530464,62.524834,59.917503,57.51936,56.796383,58.822178,0.9879,0.893188,0.932055,0.970915,0.983274,0.949411,0.0,6.11586e-09,3.32775e-09,2.53558e-09,2.55137e-09,2.55137e-09,2.55137e-09
heart02_A_transviso_forward_dt0005_fv,2727694,210101,210101,0,r,0.000563,0,12.982775,5,16,323269,2404425,11.851,2304138,423556,84.47200000000001,1146120,1581574,42.018,778.167419,699.742126,939.451355,896.860657,775.112732,763.753662,892.003113,1.112077,0.828321,0.867657,1.003941,1.018872,0.872382,0.0,3.21041e-08,2.76812e-10,2.17594e-08,1.94371e-08,1.94371e-08,1.94371e-08
heart02_A_uniform_forward_dt0001_fv,2727694,210101,210101,0,r,4e-05,0,12.982775,5,16,1109607,1618087,40.679,2373794,353900,87.02600000000001,1536328,1191366,56.323,777.744507,698.767883,932.763428,888.510437,762.779297,750.00177,889.626099,1.113023,0.833807,0.875335,1.019619,1.03699,0.874238,0.0,1.79203e-08,1.77576e-09,1.38961e-08,1.27241e-08,1.27241e-08,1.27241e-08
heart03_A_transviso_forward_dt0005_fv,21989294,1607708,1607708,0,r,0.002034,0,13.677418,5,16,1274691,20714603,5.797,18580790,3408504,84.499,8786516,13202778,39.958,5745.026855,4912.562988,6578.63916,6412.670898,5616.267578,5599.079102,6565.422363,1.169456,0.873285,0.895887,1.022926,1.026066,0.875043,0.0,3.25034e-08,6.62863e-11,2.11149e-08,1.92432e-08,1.92432e-08,1.92432e-08
heart03_A_uniform_forward_dt0001_fv,21989294,1607708,1607708,0,r,0.000148,0,13.677418,5,16,6341847,15647447,28.841,19175689,2813605,87.205,12189214,9800080,55.432,5743.994141,4912.57959,6938.39502,6305.062012,5489.091797,5448.208984,6508.937988,1.169242,0.827856,0.911013,1.046438,1.05429,0.882478,0.0,1.9905e-08,2.83446e-10,1.74612e-08,1.66488e-08,1.66488e-08,1.66488e-08
heart04_A_transviso_forward_dt0005_fv,41954810,3031704,3031704,0,r,0.003036,0,13.838689,5,16,1955407,39999403,4.661,35401615,6553195,84.38,16184997,25769813,38.577,11214.055664,9564.538086,12776.914062,12476.577148,10981.850586,11099.676758,13044.569336,1.172462,0.877681,0.898809,1.021144,1.010305,0.859672,0.0,3.44994e-08,4.37649e-11,2.1328e-08,1.94119e-08,1.94119e-08,1.94119e-08
heart04_A_uniform_forward_dt0001_fv,41954810,3031704,3031704,0,r,0.000223,0,13.838689,5,16,11534419,30420391,27.492,36662658,5292152,87.386,23092719,18862091,55.042,11214.358398,9563.888672,13593.268555,12300.321289,10650.49707,10760.397461,12912.983398,1.172573,0.824994,0.911713,1.052942,1.042188,0.868456,0.0,1.98113e-08,1.58855e-10,1.73708e-08,1.68636e-08,1.68636e-08,1.68636e-08
heart05_A_uniform_forward_dt0001_fv,100789228,7205076,7205076,0,r,0.000394,0,13.988642,5,16,26559007,74230221,26.351000000000003,88105400,12683828,87.41499999999999,55383569,45405659,54.949999999999996,29304.207031,24599.154297,34363.953125,30936.525391,27131.890625,27448.314453,34004.089844,1.191269,0.85276,0.947237,1.080065,1.067614,0.861785,0.0,1.9766e-08,7.27992e-11,1.73489e-08,1.69489e-08,1.69489e-08,1.69489e-08
heart06_A_uniform_forward_dt0001_fv,333832334,23595379,23595379,0,r,0.000861,0,14.148208,4,16,85152622,248679712,25.507999999999996,292205258,41627076,87.531,182561786,151270548,54.687,124054.9375,97147.890625,146223.96875,132127.84375,108940.203125,110685.382812,161282.046875,1.27697,0.84839,0.938901,1.138743,1.120789,0.76918,0.0,1.9789e-08,2.55195e-11,1.7393e-08,1.6982e-08,1.6982e-08,1.6982e-08
heart07_A_uniform_forward_dt0001_fv,791107308,55603164,55603164,0,r,0.001517,0,14.227739,3,16,199191048,591916260,25.179000000000002,692924440,98182868,87.589,431400052,359707256,54.531,498039.15625,312827.71875,677697.0,494024.8125,402445.53125,391930.59375,707629.0,1.592056,0.734899,1.008126,1.237532,1.270733,0.703814,0.0,3.06842e-08,1.41829e-11,2.91246e-08,2.88971e-08,2.88971e-08,2.88971e-08
