matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr
circuit5M_dc,15670876,3523317,3523317,0,r,0.011166,2,4.447762,0,26,10466665,5204211,66.791,10669065,5001811,68.082,6001192,9669684,38.295,1414.700073,1233.907715,1663.42041,1665.060913,1411.125244,1417.207764,1726.429199,1.14652,0.850477,0.849639,1.002533,0.998231,0.819437,6.00946e-17,3.25275e-08,5.35618e-11,8.05044e-11,6.34282e-09,6.34282e-09,6.34282e-09
apache2,4102694,715176,715176,1,r,0.01622,0,5.736621,3,7,712784,3389910,17.374000000000002,1066784,3035910,26.002,435100,3667594,10.605,293.925873,266.117126,313.72287,322.726898,295.747589,298.400757,303.198212,1.104498,0.936897,0.910757,0.99384,0.985004,0.969418,1.78499e-05,1.78514e-05,1.78499e-05,1.785e-05,1.78499e-05,1.78499e-05,1.78499e-05
dc1,649561,116835,116835,0,r,0.019031,17,5.559644,0,114189,299777,349784,46.150999999999996,309965,339596,47.719,181529,468032,27.945999999999998,3902.889893,3752.883301,3975.431152,3945.911377,4029.984863,4102.094727,4153.447266,1.039971,0.981753,0.989097,0.968463,0.951438,0.939675,0.0287706,0.0287707,0.0287706,0.0287706,0.0287708,0.0287708,0.0287708
dc2,649561,116835,116835,0,r,0.014559,17,5.559644,0,114189,314070,335491,48.351,319849,329712,49.241,180015,469546,27.712999999999997,3903.193115,3752.36499,3976.755127,3976.376221,4008.955811,4059.177979,4151.738281,1.040195,0.981502,0.981596,0.973618,0.961572,0.940135,0.000106212,0.000106214,0.000106212,0.000106212,0.000106214,0.000106214,0.000106214
trans4,649561,116835,116835,0,r,0.019177,17,5.559644,0,114189,414088,235473,63.749,417129,232432,64.217,201820,447741,31.069999999999997,3903.278076,3752.80127,4079.613037,4066.101318,3799.397461,3844.025391,4042.76123,1.040097,0.956777,0.959956,1.027341,1.015414,0.965498,2.91399e-06,2.914e-06,2.91399e-06,2.91399e-06,2.91399e-06,2.91399e-06,2.91399e-06
trans5,649561,116835,116835,0,r,0.018051,17,5.559644,0,114189,413643,235918,63.68000000000001,416753,232808,64.159,201743,447818,31.058000000000003,3903.140869,3753.330566,4094.809082,4090.948486,3717.719971,3709.465576,4042.435547,1.039914,0.953192,0.954092,1.049875,1.052211,0.965542,1.06591e-05,1.06413e-05,1.06593e-05,1.06585e-05,1.06592e-05,1.06592e-05,1.06592e-05
ASIC_320ks,1506136,321671,321671,0,r,0.012279,148,4.682225,0,411,1129290,376846,74.979,1129290,376846,74.979,551302,954834,36.604,150.606842,139.92038,171.134979,171.134979,144.455673,146.531326,178.878464,1.076375,0.880047,0.880047,1.042582,1.027813,0.841951,4.89181e-07,4.89013e-07,4.89181e-07,4.89181e-07,4.88802e-07,4.88802e-07,4.88802e-07
ASIC_680ks,1646464,682712,682712,0,r,0.002613,308,2.411652,0,209,1560317,86147,94.768,1560278,86186,94.765,1398569,247895,84.944,223.840256,201.302017,229.756927,229.877762,215.064575,217.247742,228.56601,1.111962,0.974248,0.973736,1.040805,1.030346,0.979324,0.00408688,0.00408704,0.00408688,0.00408688,0.00408688,0.00408688,0.00408688
ohne2,10882202,181343,181343,0,r,0.002392,0,60.008944,14,3440,9948171,934031,91.417,9832601,1049601,90.35499999999999,2136258,8745944,19.631,419.395569,340.412415,403.19693,402.553864,408.478729,405.899261,414.696442,1.232022,1.040176,1.041837,1.026726,1.03325,1.011331,0.0211755,0.0211767,0.0211755,0.0211755,0.0211755,0.0211755,0.0211755
para-4,5173002,153226,153226,0,r,0.004206,0,33.760602,9,5775,4517556,655446,87.32900000000001,4437701,735301,85.786,1604888,3568114,31.024,256.628723,225.872894,277.084167,277.649414,247.81517,249.867264,257.6763,1.136164,0.926176,0.924291,1.035565,1.02706,0.995935,0.0767832,0.0767819,0.0767832,0.0767832,0.0767836,0.0767836,0.0767836
language,817204,399130,399130,0,r,0.049271,1,2.047463,0,11554,327871,489333,40.121,340755,476449,41.698,536070,281134,65.598,951.498779,866.800659,1009.495056,1017.986023,887.942139,884.207642,1047.417847,1.097713,0.942549,0.934687,1.071577,1.076103,0.908423,7.14101e-18,1.03834e-08,1.59064e-11,1.01224e-10,7.2774e-09,7.2774e-09,7.2774e-09
