matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr
circuit5M_dc,15670876,3523317,3523317,0,r,0.011166,2,4.447762,0,26,10466665,5204211,66.791,10669065,5001811,68.082,6001192,9669684,38.295,1542.315063,1348.460571,1786.092529,1810.806763,1536.06958,1540.646973,1867.793457,1.14376,0.863514,0.851728,1.004066,1.001083,0.825742,6.00946e-17,3.25275e-08,5.35618e-11,8.05044e-11,6.34282e-09,6.34282e-09,6.34282e-09
apache2,4102694,715176,715176,1,r,0.01622,0,5.736621,3,7,712784,3389910,17.374000000000002,1066784,3035910,26.002,435100,3667594,10.605,318.364685,286.876678,338.63269,346.544128,321.735687,324.130829,330.585083,1.109761,0.940148,0.918684,0.989522,0.98221,0.963034,1.78499e-05,1.78514e-05,1.78499e-05,1.785e-05,1.78499e-05,1.78499e-05,1.78499e-05
dc1,649561,116835,116835,0,r,0.019031,17,5.559644,0,114189,299777,349784,46.150999999999996,309965,339596,47.719,181529,468032,27.945999999999998,4148.475098,4011.044922,4133.163086,4091.20874,4247.491699,4301.669434,4392.708984,1.034263,1.003705,1.013997,0.976688,0.964387,0.9444,0.0287706,0.0287707,0.0287706,0.0287706,0.0287708,0.0287708,0.0287708
dc2,649561,116835,116835,0,r,0.014559,17,5.559644,0,114189,314070,335491,48.351,319849,329712,49.241,180015,469546,27.712999999999997,4147.848145,4012.933105,4137.372559,4140.455078,4232.370117,4265.572266,4392.191895,1.03362,1.002532,1.001786,0.98003,0.972401,0.944369,0.000106212,0.000106214,0.000106212,0.000106212,0.000106214,0.000106214,0.000106214
trans4,649561,116835,116835,0,r,0.019177,17,5.559644,0,114189,414088,235473,63.749,417129,232432,64.217,201820,447741,31.069999999999997,4149.348145,4009.883545,4331.131836,4312.705078,4037.843994,4070.945801,4293.310547,1.03478,0.958029,0.962122,1.027615,1.019259,0.966468,2.91399e-06,2.914e-06,2.91399e-06,2.91399e-06,2.91399e-06,2.91399e-06,2.91399e-06
trans5,649561,116835,116835,0,r,0.018051,17,5.559644,0,114189,413643,235918,63.68000000000001,416753,232808,64.159,201743,447818,31.058000000000003,4148.172852,4012.423096,4344.104004,4315.962402,3936.633789,3912.567871,4293.662598,1.033832,0.954897,0.961123,1.053736,1.060217,0.966115,1.06591e-05,1.06413e-05,1.06593e-05,1.06585e-05,1.06592e-05,1.06592e-05,1.06592e-05
ASIC_320ks,1506136,321671,321671,0,r,0.012279,148,4.682225,0,411,1129290,376846,74.979,1129290,376846,74.979,551302,954834,36.604,161.443832,148.93364,181.300217,181.299194,155.388931,159.139847,193.931259,1.083998,0.890478,0.890483,1.038966,1.014478,0.83248,4.89181e-07,4.89013e-07,4.89181e-07,4.89181e-07,4.88802e-07,4.88802e-07,4.88802e-07
ASIC_680ks,1646464,682712,682712,0,r,0.002613,308,2.411652,0,209,1560317,86147,94.768,1560278,86186,94.765,1398569,247895,84.944,239.185913,219.014145,248.83609,248.641541,234.443771,231.439362,247.307266,1.092103,0.961219,0.961971,1.020227,1.033471,0.967161,0.00408688,0.00408704,0.00408688,0.00408688,0.00408688,0.00408688,0.00408688
ohne2,10882202,181343,181343,0,r,0.002392,0,60.008944,14,3440,9948171,934031,91.417,9832601,1049601,90.35499999999999,2136258,8745944,19.631,451.096588,365.921295,432.86322,434.825226,440.613892,437.732361,449.71521,1.232769,1.042123,1.03742,1.023791,1.030531,1.003072,0.0211755,0.0211767,0.0211755,0.0211755,0.0211755,0.0211755,0.0211755
para-4,5173002,153226,153226,0,r,0.004206,0,33.760602,9,5775,4517556,655446,87.32900000000001,4437701,735301,85.786,1604888,3568114,31.024,274.954254,239.328262,295.853058,295.518219,265.5867,268.012543,277.446655,1.148858,0.929361,0.930414,1.035271,1.025901,0.991017,0.0767832,0.0767819,0.0767832,0.0767832,0.0767836,0.0767836,0.0767836
language,817204,399130,399130,0,r,0.049271,1,2.047463,0,11554,327871,489333,40.121,340755,476449,41.698,536070,281134,65.598,976.130066,901.143555,1047.68103,1058.096069,948.41449,940.910583,1099.870239,1.083213,0.931705,0.922534,1.029223,1.037431,0.887496,7.14101e-18,1.03834e-08,1.59064e-11,1.01224e-10,7.2774e-09,7.2774e-09,7.2774e-09
