matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr
circuit5M_dc,15670876,3523317,3523317,0,r,0.011166,2,4.447762,0,26,10466665,5204211,66.791,10669065,5001811,68.082,6001192,9669684,38.295,1413.706177,1233.432495,1663.113892,1665.296509,1410.858032,1417.244385,1725.049805,1.146156,0.850036,0.848922,1.002019,0.997503,0.819516,6.00946e-17,3.25275e-08,5.35618e-11,8.05044e-11,6.34282e-09,6.34282e-09,6.34282e-09
apache2,4102694,715176,715176,1,r,0.01622,0,5.736621,3,7,712784,3389910,17.374000000000002,1066784,3035910,26.002,435100,3667594,10.605,294.613464,266.164917,313.526093,322.68457,295.284851,297.427917,301.860962,1.106883,0.939678,0.913008,0.997726,0.990537,0.975991,1.78499e-05,1.78514e-05,1.78499e-05,1.785e-05,1.78499e-05,1.78499e-05,1.78499e-05
dc1,649561,116835,116835,0,r,0.019031,17,5.559644,0,114189,299777,349784,46.150999999999996,309965,339596,47.719,181529,468032,27.945999999999998,3904.082275,3753.840088,3977.452393,3944.431396,4031.165771,4105.672363,4153.924316,1.040024,0.981553,0.989771,0.968475,0.9509,0.939854,0.0287706,0.0287707,0.0287706,0.0287706,0.0287708,0.0287708,0.0287708
dc2,649561,116835,116835,0,r,0.014559,17,5.559644,0,114189,314070,335491,48.351,319849,329712,49.241,180015,469546,27.712999999999997,3905.938721,3756.173584,3982.409912,3976.505615,4010.35498,4061.211914,4153.058594,1.039872,0.980798,0.982254,0.973963,0.961767,0.940497,0.000106212,0.000106214,0.000106212,0.000106212,0.000106214,0.000106214,0.000106214
trans4,649561,116835,116835,0,r,0.019177,17,5.559644,0,114189,414088,235473,63.749,417129,232432,64.217,201820,447741,31.069999999999997,3906.324951,3755.565186,4070.040771,4066.984131,3800.208984,3845.63501,4046.805176,1.040143,0.959775,0.960497,1.027924,1.015782,0.965286,2.91399e-06,2.914e-06,2.91399e-06,2.91399e-06,2.91399e-06,2.91399e-06,2.91399e-06
trans5,649561,116835,116835,0,r,0.018051,17,5.559644,0,114189,413643,235918,63.68000000000001,416753,232808,64.159,201743,447818,31.058000000000003,3906.347168,3755.655518,4093.637451,4093.375732,3718.580078,3713.739502,4047.674316,1.040124,0.954248,0.954309,1.050494,1.051864,0.965084,1.06591e-05,1.06413e-05,1.06593e-05,1.06585e-05,1.06592e-05,1.06592e-05,1.06592e-05
ASIC_320ks,1506136,321671,321671,0,r,0.012279,148,4.682225,0,411,1129290,376846,74.979,1129290,376846,74.979,551302,954834,36.604,151.586105,139.792709,170.917953,170.905243,144.232666,146.626465,179.144455,1.084363,0.886894,0.88696,1.050983,1.033825,0.846167,4.89181e-07,4.89013e-07,4.89181e-07,4.89181e-07,4.88802e-07,4.88802e-07,4.88802e-07
ASIC_680ks,1646464,682712,682712,0,r,0.002613,308,2.411652,0,209,1560317,86147,94.768,1560278,86186,94.765,1398569,247895,84.944,218.569244,201.269958,229.771103,229.964569,215.455643,217.023132,228.088638,1.085951,0.951248,0.950447,1.014451,1.007124,0.958264,0.00408688,0.00408704,0.00408688,0.00408688,0.00408688,0.00408688,0.00408688
ohne2,10882202,181343,181343,0,r,0.002392,0,60.008944,14,3440,9948171,934031,91.417,9832601,1049601,90.35499999999999,2136258,8745944,19.631,417.626038,340.285553,403.02243,401.87207,408.410339,405.337708,414.705322,1.227281,1.036235,1.039201,1.022565,1.030316,1.007043,0.0211755,0.0211767,0.0211755,0.0211755,0.0211755,0.0211755,0.0211755
para-4,5173002,153226,153226,0,r,0.004206,0,33.760602,9,5775,4517556,655446,87.32900000000001,4437701,735301,85.786,1604888,3568114,31.024,255.420837,225.692383,276.852203,277.723907,248.171143,249.948868,257.90506,1.131721,0.922589,0.919693,1.029212,1.021892,0.990368,0.0767832,0.0767819,0.0767832,0.0767832,0.0767836,0.0767836,0.0767836
language,817204,399130,399130,0,r,0.049271,1,2.047463,0,11554,327871,489333,40.121,340755,476449,41.698,536070,281134,65.598,950.672302,867.84314,1010.031189,1019.612244,888.572144,885.80896,1048.149658,1.095443,0.941231,0.932386,1.069888,1.073225,0.907001,7.14101e-18,1.03834e-08,1.59064e-11,1.01224e-10,7.2774e-09,7.2774e-09,7.2774e-09
