matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
nasa2910,174296,2910,2910,1,r,2.0,0,59.895533,16,175,74966,99330,43.010999999999996,75226,99070,43.16,0,174296,0.0,8.593984,8.373088,10.194752,10.070976,8.774112,8.604032,8.749568,1.026382,0.842981,0.853342,0.979471,0.998832,0.982218,0.0,4.4962e-08,5.6131e-16,2.66219e-15,0.0,0.0,0.0,8.062688,1.065896,5.39232e-08
s1rmq4m1,281111,5489,5489,1,r,2.0,0,51.213518,13,54,65570,215541,23.325000000000003,68990,212121,24.542,0,281111,0.0,10.320288,10.112512,11.408896,11.634304,10.42416,10.252416,10.502464,1.020546,0.904582,0.887057,0.990035,1.00662,0.982654,0.0,5.15488e-08,1.08322e-13,3.37901e-13,0.0,0.0,0.0,9.70912,1.062948,7.83022e-08
s1rmt3m1,219521,5489,5489,1,r,2.0,0,39.992895,7,42,21708,197813,9.889000000000001,23668,195853,10.782,0,219521,0.0,9.964544,9.817632,10.828,10.87776,10.021952,9.928896,10.00672,1.014964,0.920257,0.916047,0.994272,1.00359,0.995785,0.0,4.10708e-08,3.82557e-14,1.77827e-13,0.0,0.0,0.0,9.532768,1.045294,7.27628e-08
bcsstk28,219024,4410,4410,1,r,2.0,0,49.665306,16,94,1012,218012,0.462,1472,217552,0.672,0,219024,0.0,9.401216,9.116544,9.805856,9.907648,9.442112,9.41264,9.452576,1.031226,0.958735,0.948885,0.995669,0.998786,0.994567,0.0,4.31274e-08,4.64798e-16,1.08101e-15,0.0,0.0,0.0,8.91632,1.054383,5.83605e-08
bcsstk25,252241,15439,15439,1,r,2.0,0,16.33791,2,59,18880,233361,7.485,18928,233313,7.504,0,252241,0.0,16.101215,15.863296,17.593376,17.558912,16.114656,16.002209,16.626144,1.014998,0.915186,0.916983,0.999166,1.006187,0.968427,0.0,4.41618e-08,9.80538e-17,9.35444e-17,0.0,0.0,0.0,15.428512,1.043601,5.82712e-08
ncvxqp3,499964,75000,75000,1,r,2.0,0,6.666187,2,15,0,499964,0.0,50002,449962,10.001,0,499964,0.0,31.920321,19.574144,34.828449,38.896961,32.964127,31.263041,33.623615,1.630739,0.916501,0.820638,0.968335,1.021024,0.949342,0.0,4.07327e-08,0.0,3.07566e-13,0.0,0.0,0.0,18.361536,1.738434,6.24625e-08
nasa4704,104756,4704,4704,1,r,2.0,0,22.269558,6,42,17612,87144,16.811999999999998,17612,87144,16.811999999999998,0,104756,0.0,8.626784,8.623264,9.669536,9.67264,8.655552,8.640704,8.86656,1.000408,0.892161,0.891875,0.996676,0.998389,0.972957,0.0,3.24935e-08,1.0391e-15,1.0391e-15,0.0,0.0,0.0,8.21424,1.050223,5.24927e-08
bcsstk24,159910,3562,3562,1,r,2.0,0,44.893318,15,57,758,159152,0.47400000000000003,1280,158630,0.8,0,159910,0.0,8.343424,8.155616,8.50208,8.543776,8.371296,8.186784,8.355584,1.023028,0.981339,0.97655,0.996671,1.019133,0.998545,0.0,5.48612e-08,1.12666e-18,1.12672e-18,0.0,0.0,0.0,7.969696,1.046894,7.27477e-08
nemeth01,725054,9506,9506,1,r,2.0,0,76.273301,31,96,664530,60524,91.652,676534,48520,93.308,0,725054,0.0,30.226879,14.067296,21.25248,20.013857,30.055872,30.125504,30.330816,2.148734,1.422275,1.510298,1.00569,1.003365,0.996573,0.0,4.26216e-08,4.01891e-09,5.33994e-09,0.0,0.0,0.0,13.270656,2.277723,7.65076e-08
bundle1,770901,10581,10581,1,r,2.0,0,72.857102,17,1711,90,770811,0.012,92,770809,0.012,0,770901,0.0,38.832832,23.218559,44.383839,44.039841,44.330784,42.48621,44.022625,1.672491,0.874932,0.881766,0.875979,0.91401,0.882111,0.0,3.51815e-08,3.43562e-16,3.43562e-16,0.0,0.0,0.0,22.199936,1.749232,1.67843e-07
sme3Da,874887,12504,12504,0,r,2.0,0,69.96857,24,345,20053,854834,2.292,24313,850574,2.779,0,874887,0.0,38.883518,30.07312,40.543041,41.073921,38.832382,38.528416,38.912991,1.292966,0.959068,0.946672,1.001317,1.009217,0.999243,0.0,4.22088e-08,1.06707e-12,2.78375e-12,0.0,0.0,0.0,28.017153,1.387847,7.41745e-08
SiH4,171903,5041,5041,1,r,2.0,0,34.100972,13,205,138758,33145,80.719,138758,33145,80.719,0,171903,0.0,10.002464,9.72688,10.645408,10.62624,10.148224,10.024192,10.101088,1.028332,0.939604,0.941299,0.985637,0.997832,0.990236,0.0,4.05374e-08,2.39633e-09,2.39633e-09,0.0,0.0,0.0,9.170368,1.090737,7.08949e-08
k3plates,378927,11107,11107,0,r,2.0,0,34.116053,15,58,274,378653,0.07200000000000001,552,378375,0.146,0,378927,0.0,14.116352,13.621088,14.98352,14.918784,14.212064,14.044352,14.592864,1.03636,0.942125,0.946213,0.993265,1.005127,0.967346,0.0,4.39591e-08,2.00596e-17,3.0842e-17,0.0,0.0,0.0,12.936544,1.0912,7.34971e-08
Si5H12,738598,19896,19896,1,r,2.0,0,37.122939,14,351,602948,135650,81.634,602956,135642,81.635,0,738598,0.0,36.330914,24.218016,35.154114,35.134689,36.381985,36.012257,36.75843,1.500161,1.033475,1.034047,0.998596,1.008849,0.98837,0.0,4.08526e-08,3.11741e-09,3.11753e-09,0.0,0.0,0.0,19.994688,1.817028,6.87942e-08
