matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
boyd1,1211231,93279,93279,1,r,1315117.319535,0,12.985034,3,93261,0,1211231,0.0,750835,460396,61.989000000000004,302781,908450,24.998,1689.995239,1625.636841,1689.708374,2980.275879,2086.120361,1968.328735,3709.73999,1.03959,1.00017,0.56706,0.810114,0.858594,0.455556,0.0,7.11682e-08,0.0,5.93134e-10,3.75929e-09,3.75929e-09,3.75929e-09,1547.605957,1.092006,1.86127e-07
offshore,4242673,259789,259789,1,r,135017329162.61499,0,16.331226,5,31,628,4242045,0.015,4067680,174993,95.875,4043330,199343,95.301,267.493378,248.218628,282.477295,266.947113,253.01709,252.697601,258.929657,1.077652,0.946955,1.002046,1.057215,1.058551,1.033074,0.0,4.53462e-08,7.03011e-19,1.83284e-11,2.43526e-11,2.43526e-11,2.43526e-11,217.838593,1.227943,6.87815e-08
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,159012,7180655,2.166,7335725,3942,99.946,7307059,32608,99.556,263.075836,219.497467,279.194336,229.044922,223.879166,222.979065,225.217529,1.198537,0.942268,1.148577,1.17508,1.179823,1.168097,0.0,2.44988e-09,2.71164e-18,2.05848e-14,3.09447e-13,3.09447e-13,3.09447e-13,210.0224,1.252608,3.18666e-08
2cubes_sphere,1647264,101492,101492,1,r,5142940.067247,0,16.230481,5,31,14840,1632424,0.901,1383773,263491,84.004,1305541,341723,79.255,106.665985,97.293312,116.697952,116.306496,102.040573,101.131264,105.012222,1.096334,0.914035,0.917111,1.045329,1.054728,1.015748,0.0,4.50429e-08,5.23216e-18,6.39372e-11,1.20643e-10,1.20643e-10,1.20643e-10,85.582848,1.246348,6.60016e-08
m_t1,9753570,97578,97578,1,r,84596259.538921,0,99.95665,48,237,150,9753420,0.002,7849265,1904305,80.476,3937731,5815839,40.372,288.826355,213.125122,293.912109,260.188385,263.632904,262.323212,274.1586,1.355196,0.982696,1.110066,1.095563,1.101032,1.053501,0.0,4.31793e-08,6.70834e-18,1.35958e-10,6.81772e-11,6.81772e-11,6.81772e-11,204.772354,1.410475,7.78692e-08
pre2,5959282,659033,659033,0,r,484883.69767,0,9.042464,1,628,2464565,3494717,41.357,5682088,277194,95.34899999999999,5282099,677183,88.637,379.238403,326.356995,459.109467,376.325775,341.241852,346.865662,382.061554,1.162035,0.82603,1.00774,1.111348,1.093329,0.992611,0.0,4.44602e-08,4.19786e-17,9.39029e-12,2.13532e-08,2.13532e-08,2.13532e-08,295.010315,1.285509,4.90647e-08
StocF-1465,21005389,1465137,1465137,1,r,108875.813749,0,14.336809,1,189,11469525,9535864,54.603,19858131,1147258,94.538,14201029,6804360,67.607,946.932739,756.432922,1088.994995,887.379028,820.855835,831.24939,928.52124,1.25184,0.869547,1.067112,1.153592,1.139168,1.019829,0.0,6.00079e-08,4.41358e-17,1.27191e-12,1.42956e-10,1.42956e-10,1.42956e-10,700.259338,1.35226,6.66358e-08
kkt_power,14612663,2063494,2063494,1,r,54445247.04454,0,7.081515,1,96,2409714,12202949,16.491,14413034,199629,98.634,13405493,1207170,91.739,823.573486,657.088501,870.667908,713.323792,687.506409,692.243469,722.542603,1.253368,0.94591,1.154558,1.197914,1.189717,1.139827,0.0,5.17042e-08,7.9022e-17,3.10769e-12,2.89355e-12,2.89355e-12,2.89355e-12,630.022156,1.307214,7.47041e-08
ohne2,11063545,181343,181343,0,r,3087214.957937,0,61.008944,15,3441,9892508,1171037,89.415,10868568,194977,98.238,8429613,2633932,76.193,392.555511,314.715149,374.974304,335.474487,336.949249,333.798401,342.191101,1.247336,1.046886,1.17015,1.165029,1.176026,1.147182,0.0,3.74402e-08,8.34341e-17,1.57159e-12,1.84474e-12,1.84474e-12,1.84474e-12,301.440002,1.302267,5.83722e-08
ct20stif,2698463,52329,52329,1,r,276274.177348,0,51.567257,2,207,150053,2548410,5.561,2262690,435773,83.851,371812,2326651,13.779,105.483261,84.773888,109.431778,104.4105,99.558403,100.120575,103.965698,1.24429,0.963918,1.010274,1.059511,1.053562,1.014597,0.0,5.6019e-08,9.18479e-17,2.74389e-12,1.31427e-12,1.31427e-12,1.31427e-12,80.860161,1.304515,7.30009e-08
