matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
ted_A_unscaled,424587,10605,10605,0,r,2136533594.832822,0,40.036492,1,147,160457,264130,37.791000000000004,279141,145446,65.744,144088,280499,33.936,14.90112,13.901056,16.659201,15.553792,14.696704,14.614976,14.7056,1.071942,0.894468,0.958038,1.013909,1.019579,1.013296,0.0,4.13341e-08,1.65997e-16,1.07535e-10,7.06386e-18,7.06386e-18,7.06386e-18,13.314432,1.119171,7.35683e-08
bloweya,150009,30004,30004,1,r,0.121326,0,4.999633,2,10001,40008,110001,26.669999999999998,40004,110005,26.667999999999996,20002,130007,13.333999999999998,208.119583,212.115036,219.388199,217.996155,212.616287,213.230148,224.098022,0.981164,0.948636,0.954694,0.978851,0.976033,0.928699,0.0,4.51785e-08,1.47153e-11,1.63625e-16,8.44267e-17,8.44267e-17,8.44267e-17,199.779968,1.041744,1.35147e-07
bloweybl,120000,30003,30003,1,r,0.083493,0,3.9996,1,10001,40006,79994,33.338,40002,79998,33.335,20001,99999,16.667,391.014984,399.992004,388.141571,387.928162,398.094727,399.025391,399.108734,0.977557,1.007403,1.007957,0.982216,0.979925,0.97972,0.0,2.72952e-08,2.46182e-10,2.36103e-10,9.9407e-17,9.9407e-17,9.9407e-17,374.268372,1.044745,1.18266e-07
oilpan,3597188,73752,73752,1,r,6622.635784,0,48.774108,28,70,1767180,1830008,49.126999999999995,2199300,1397888,61.138999999999996,850619,2746569,23.647000000000002,138.012665,111.893501,141.564896,132.476318,132.02739,131.933182,138.614777,1.233429,0.974907,1.041791,1.045334,1.04608,0.995656,0.0,4.04544e-08,1.10845e-15,1.55606e-10,5.71683e-15,5.71683e-15,5.71683e-15,106.88205,1.291261,7.10959e-08
ex35,228208,19716,19716,0,r,24080.204405,0,11.574762,1,18,134709,93499,59.028999999999996,136820,91388,59.95399999999999,103850,124358,45.507,12.087072,11.741888,12.693152,12.643744,12.094784,12.088096,13.179616,1.029398,0.952251,0.955973,0.999362,0.999915,0.917104,0.0,4.39894e-08,2.59083e-15,8.0057e-11,1.29716e-14,1.29716e-14,1.29716e-14,11.521056,1.049129,7.00178e-08
ASIC_320ks,1827807,321671,321671,0,r,1.313109,0,5.682225,1,412,1827783,24,99.99900000000001,1827783,24,99.99900000000001,1827741,66,99.996,126.362625,102.840317,109.506432,107.69059,102.227966,104.900604,108.893181,1.228727,1.153929,1.173386,1.236087,1.204594,1.160427,0.0,5.67243e-08,1.50993e-13,1.50993e-13,1.50617e-13,1.50617e-13,1.50617e-13,97.164291,1.300505,7.78321e-08
Chebyshev4,5377761,68121,68121,0,r,54.083825,0,78.944246,9,68121,5343556,34205,99.36399999999999,5368574,9187,99.82900000000001,5319251,58510,98.912,829.429749,753.386475,761.147888,765.350525,763.645935,766.84491,761.061401,1.100935,1.089709,1.083725,1.086144,1.081613,1.089833,0.0,4.31512e-08,4.99748e-15,1.61047e-13,1.70751e-13,1.70751e-13,1.70751e-13,736.8479,1.125646,8.61178e-08
ex19,259879,12005,12005,0,r,12698.154134,0,21.647564,1,50,116904,142975,44.984,154647,105232,59.507,86392,173487,33.243,14.258816,13.722784,15.789664,15.733984,14.417856,14.265536,14.627712,1.039061,0.903047,0.906243,0.988969,0.999529,0.974781,0.0,4.52399e-08,2.23452e-16,1.62062e-10,2.79378e-13,2.79378e-13,2.79378e-13,13.252608,1.075925,7.19397e-08
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,159012,7180655,2.166,7335725,3942,99.946,7307059,32608,99.556,263.075836,219.497467,279.194336,229.044922,223.879166,222.979065,225.217529,1.198537,0.942268,1.148577,1.17508,1.179823,1.168097,0.0,2.44988e-09,2.71164e-18,2.05848e-14,3.09447e-13,3.09447e-13,3.09447e-13,210.0224,1.252608,3.18666e-08
PR02R,8185136,161070,161070,0,r,303761.12451,0,50.81726,1,92,5659702,2525434,69.146,8128755,56381,99.311,7917648,267488,96.732,290.29068,238.03392,299.828552,250.858337,240.959488,238.285828,244.6633,1.219535,0.968189,1.15719,1.204728,1.218246,1.18649,0.0,5.11676e-08,1.45708e-16,2.3293e-12,1.10684e-12,1.10684e-12,1.10684e-12,227.17543,1.277826,7.46555e-08
