matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
CO,7666057,221119,221119,1,r,2.0,0,34.669373,15,313,4871064,2794993,63.541000000000004,6144702,1521355,80.155,0,7666057,0.0,162.081085,143.274597,168.92804,164.354843,162.653534,161.835098,165.649124,1.131262,0.959468,0.986166,0.996481,1.00152,0.97846,0.0,4.11456e-08,6.05568e-10,3.11409e-09,0.0,0.0,0.0,134.465057,1.205377,7.09478e-08
crankseg_2,14148858,63838,63838,1,r,2.0,0,221.636925,48,3423,92038,14056820,0.65,98826,14050032,0.698,0,14148858,0.0,200.585831,138.566818,203.304504,203.275131,202.231873,202.004166,202.323654,1.447575,0.986628,0.98677,0.991861,0.992979,0.991411,0.0,3.07945e-08,4.5371e-16,2.34032e-16,0.0,0.0,0.0,135.628159,1.478939,1.10292e-07
crankseg_1,10614210,52804,52804,1,r,2.0,0,201.011476,48,2703,46090,10568120,0.434,49302,10564908,0.464,0,10614210,0.0,152.405319,105.894173,154.335205,154.11731,153.193344,153.568222,153.979462,1.439223,0.987495,0.988892,0.994856,0.992427,0.989777,0.0,2.42706e-08,6.06663e-16,5.14173e-16,0.0,0.0,0.0,103.467072,1.472984,6.55043e-08
bmwcra_1,10644002,148770,148770,1,r,2.0,0,71.546696,24,351,233444,10410558,2.193,255368,10388634,2.399,0,10644002,0.0,173.273849,131.16745,179.252518,179.026047,169.609344,169.412704,172.220932,1.321013,0.966647,0.967869,1.021606,1.022791,1.006114,0.0,4.49589e-08,4.14278e-15,1.15915e-14,0.0,0.0,0.0,126.073471,1.374388,7.6783e-08
apache2,4817870,715176,715176,1,r,2.0,0,6.736621,4,8,0,4817870,0.0,0,4817870,0.0,0,4817870,0.0,114.787521,93.368065,119.387421,119.389091,113.433571,113.702782,117.500572,1.229409,0.961471,0.961457,1.011936,1.00954,0.97691,0.0,4.1022e-08,0.0,0.0,0.0,0.0,0.0,86.540833,1.326397,5.77828e-08
af_2_k101,17550675,503625,503625,1,r,2.0,0,34.848697,15,35,4483518,13067157,25.546000000000003,5606458,11944217,31.944,0,17550675,0.0,341.601349,294.376862,370.333984,361.971588,338.438538,336.582581,342.59726,1.160422,0.922414,0.943724,1.009345,1.014911,0.997093,0.0,4.27991e-08,6.56124e-14,1.40602e-13,0.0,0.0,0.0,276.155182,1.236991,7.26948e-08
af_3_k101,17550675,503625,503625,1,r,2.0,0,34.848697,15,35,4483518,13067157,25.546000000000003,5606458,11944217,31.944,0,17550675,0.0,342.330933,294.452881,370.517639,362.100281,338.450134,336.605347,342.662994,1.1626,0.923926,0.945404,1.011466,1.01701,0.999031,0.0,4.26874e-08,6.54437e-14,1.4044e-13,0.0,0.0,0.0,276.181671,1.239514,7.25449e-08
sparsine,1548988,50000,50000,1,r,2.0,0,30.97976,6,56,30,1548958,0.002,60,1548928,0.004,0,1548988,0.0,38.875423,35.053631,40.175007,40.184223,38.900002,38.760929,39.430111,1.109027,0.967652,0.96743,0.999368,1.002954,0.985932,0.0,4.49183e-08,2.94181e-15,8.26509e-15,0.0,0.0,0.0,32.996864,1.178155,7.54055e-08
ncvxbqp1,349968,50000,50000,1,r,2.0,0,6.99936,2,9,0,349968,0.0,6,349962,0.002,0,349968,0.0,7.955008,7.1576,8.19872,8.281056,7.971008,7.974656,8.155936,1.111407,0.970274,0.960627,0.997993,0.997536,0.975364,0.0,4.21948e-08,0.0,1.68413e-15,0.0,0.0,0.0,6.809248,1.168265,6.2204e-08
af_4_k101,17550675,503625,503625,1,r,2.0,0,34.848697,15,35,2859242,14691433,16.291,3696644,13854031,21.063000000000002,0,17550675,0.0,339.699066,294.521362,367.457733,366.672394,338.464966,336.637512,342.671417,1.153394,0.924458,0.926438,1.003646,1.009095,0.991326,0.0,4.29729e-08,5.4087e-14,1.21864e-13,0.0,0.0,0.0,276.164093,1.230062,7.30612e-08
af_5_k101,17550675,503625,503625,1,r,2.0,0,34.848697,15,35,2859242,14691433,16.291,3696644,13854031,21.063000000000002,0,17550675,0.0,341.73291,294.516937,367.408783,366.688232,338.457428,336.577148,342.652069,1.160317,0.930116,0.931944,1.009678,1.015318,0.997318,0.0,4.28935e-08,5.4008e-14,1.21516e-13,0.0,0.0,0.0,276.179688,1.237357,7.3348e-08
af_shell1,17588875,504855,504855,1,r,2.0,0,34.839459,20,40,764180,16824695,4.345000000000001,764240,16824635,4.345000000000001,0,17588875,0.0,338.957306,295.484222,390.267059,389.512238,339.947845,340.040771,342.266693,1.147125,0.868527,0.87021,0.997086,0.996814,0.990331,0.0,4.15231e-08,5.16525e-16,1.01043e-15,0.0,0.0,0.0,277.297302,1.222361,7.22565e-08
af_shell2,17588875,504855,504855,1,r,2.0,0,34.839459,20,40,764180,16824695,4.345000000000001,764240,16824635,4.345000000000001,0,17588875,0.0,338.971039,295.472565,390.217743,389.552277,339.929474,339.985565,342.306488,1.147217,0.868672,0.870155,0.99718,0.997016,0.990256,0.0,4.16645e-08,5.3945e-16,9.93677e-16,0.0,0.0,0.0,277.274536,1.222511,7.24211e-08
af_shell3,17588875,504855,504855,1,r,2.0,0,34.839459,20,40,764180,16824695,4.345000000000001,764240,16824635,4.345000000000001,0,17588875,0.0,338.986725,295.449982,390.204285,389.542847,339.909912,340.017395,342.277893,1.147357,0.868742,0.870217,0.997284,0.996969,0.990385,0.0,4.69024e-08,4.89376e-16,9.54299e-16,0.0,0.0,0.0,277.286774,1.222513,7.54478e-08
af_shell4,17588875,504855,504855,1,r,2.0,0,34.839459,20,40,764180,16824695,4.345000000000001,764240,16824635,4.345000000000001,0,17588875,0.0,342.949188,295.475922,390.203674,389.513428,339.870087,339.999908,342.288116,1.160667,0.878898,0.880455,1.00906,1.008674,1.001931,0.0,4.69706e-08,4.00116e-16,1.09961e-15,0.0,0.0,0.0,277.262177,1.236913,7.54505e-08
F1,26837113,343791,343791,1,r,2.0,0,78.062291,24,435,33546,26803567,0.125,35128,26801985,0.131,0,26837113,0.0,458.734253,342.685242,467.528687,467.844879,460.030151,461.036346,463.664307,1.338646,0.98119,0.980526,0.997183,0.995007,0.989367,0.0,4.50391e-08,8.32126e-16,2.03869e-15,0.0,0.0,0.0,328.590149,1.396068,7.74754e-08
cvxbqp1,349968,50000,50000,1,r,2.0,0,6.99936,2,9,0,349968,0.0,6,349962,0.002,0,349968,0.0,7.944128,7.148768,8.305472,8.311616,7.96608,8.026656,8.170528,1.111258,0.956493,0.955786,0.997244,0.989718,0.972291,0.0,4.22178e-08,0.0,4.38149e-15,0.0,0.0,0.0,6.900864,1.151179,6.20982e-08
gridgena,512084,48962,48962,1,r,2.0,0,10.458805,5,17,246374,265710,48.112,246374,265710,48.112,0,512084,0.0,16.229824,10.747456,17.366432,17.374559,15.959776,15.577184,15.770656,1.510109,0.934551,0.934114,1.016921,1.041897,1.029115,0.0,3.81361e-08,1.8011e-14,1.8011e-14,0.0,0.0,0.0,10.680128,1.519628,5.59961e-08
inline_1,36816342,503712,503712,1,r,2.0,0,73.090063,18,843,840870,35975472,2.284,888872,35927470,2.414,0,36816342,0.0,603.878174,463.582611,635.472046,636.832581,605.811951,606.19873,607.862549,1.302633,0.950283,0.948253,0.996808,0.996172,0.993445,0.0,4.59271e-08,8.94937e-15,2.13685e-14,0.0,0.0,0.0,445.940613,1.354167,7.28337e-08
af_1_k101,17550675,503625,503625,1,r,2.0,0,34.848697,15,35,4434038,13116637,25.263999999999996,5477206,12073469,31.208000000000002,0,17550675,0.0,339.689789,294.373413,371.115753,362.483887,338.453705,336.582275,342.630646,1.153942,0.91532,0.937117,1.003652,1.009233,0.991417,0.0,4.30375e-08,6.3311e-14,1.35317e-13,0.0,0.0,0.0,276.174286,1.229983,7.27973e-08
F2,5294285,71505,71505,1,r,2.0,0,74.040766,22,345,22206,5272079,0.41900000000000004,23288,5270997,0.44,0,5294285,0.0,91.041183,69.584862,93.0448,91.977058,88.4049,88.416222,89.455521,1.308348,0.978466,0.989825,1.029821,1.029689,1.017726,0.0,4.4918e-08,2.54556e-15,5.80484e-15,0.0,0.0,0.0,66.772324,1.363457,7.71713e-08
Lin,1766400,256000,256000,1,r,2.0,0,6.9,4,7,0,1766400,0.0,0,1766400,0.0,0,1766400,0.0,43.5592,35.610462,45.905216,45.905762,43.684799,44.660992,45.187874,1.223214,0.948894,0.948883,0.997125,0.97533,0.963958,0.0,5.04967e-08,0.0,0.0,0.0,0.0,0.0,33.397408,1.304269,6.41401e-08
degme,8127528,185501,659415,0,r,2.0,0,43.813931,4,624079,897730,7229798,11.046,2693298,5434230,33.138,0,8127528,0.0,3667.69165,3366.937744,4626.282715,4387.681152,4742.749023,4728.059082,4836.227539,1.089326,0.792795,0.835907,0.773326,0.775729,0.758379,0.0,3.46103e-08,1.62855e-09,7.59643e-09,0.0,0.0,0.0,3287.480713,1.115654,3.85566e-07
tp-6,11537419,142752,1014301,0,r,2.0,0,80.821418,6,960830,1274958,10262461,11.051,3823668,7713751,33.141,0,11537419,0.0,5408.622559,5021.466309,6413.211426,6167.01123,6561.669434,6506.140625,6761.665527,1.0771,0.843356,0.877025,0.824275,0.83131,0.799895,0.0,3.33277e-08,1.58153e-09,7.18683e-09,0.0,0.0,0.0,4893.566895,1.105252,1.11479e-06
nasasrb,2677324,54870,54870,1,r,2.0,0,48.793949,12,276,271960,2405364,10.158000000000001,282398,2394926,10.548,0,2677324,0.0,53.194366,43.749153,56.503296,56.344833,51.574623,51.167297,52.014175,1.215895,0.941438,0.944086,1.031406,1.039616,1.02269,0.0,4.60408e-08,2.13795e-16,4.44248e-16,0.0,0.0,0.0,42.042721,1.265246,7.26148e-08
boneS01,6715152,127224,127224,1,r,2.0,0,52.782117,12,81,1198550,5516602,17.848,1198550,5516602,17.848,0,6715152,0.0,117.064445,97.186211,130.731674,130.704025,117.346436,116.744576,119.199715,1.204538,0.895456,0.895645,0.997597,1.00274,0.982087,0.0,4.66911e-08,1.66836e-16,1.66836e-16,0.0,0.0,0.0,92.866493,1.260567,7.74864e-08
Ga10As10H30,6115633,113081,113081,1,r,2.0,0,54.081879,7,698,4860274,1255359,79.473,5023532,1092101,82.14200000000001,0,6115633,0.0,107.75882,86.046722,103.013344,102.719391,108.91613,108.43821,109.512062,1.252329,1.046067,1.04906,0.989374,0.993735,0.98399,0.0,4.33537e-08,2.81597e-09,3.64756e-09,0.0,0.0,0.0,81.679359,1.319291,8.30023e-08
af_shell6,17588875,504855,504855,1,r,2.0,0,34.839459,20,40,755500,16833375,4.295,764240,16824635,4.345000000000001,0,17588875,0.0,338.874634,295.461853,389.760956,389.508057,339.864471,339.957367,342.284576,1.146932,0.869442,0.870007,0.997088,0.996815,0.990038,0.0,4.1588e-08,1.12803e-14,1.65811e-14,0.0,0.0,0.0,277.268768,1.222188,7.20407e-08
Ga19As19H42,8884839,133123,133123,1,r,2.0,0,66.741577,15,697,7061910,1822929,79.483,7369680,1515159,82.947,0,8884839,0.0,148.674118,113.11837,136.135681,134.102814,148.015579,147.885376,149.428772,1.314323,1.092103,1.108658,1.004449,1.005333,0.99495,0.0,4.59396e-08,2.74466e-09,3.87191e-09,0.0,0.0,0.0,107.575394,1.382046,8.8461e-08
Ge99H100,8451395,112985,112985,1,r,2.0,0,74.801036,7,469,7677378,774017,90.842,7677378,774017,90.842,0,8451395,0.0,137.98407,104.32534,120.227104,120.121696,137.980316,137.192764,138.19754,1.322632,1.147695,1.148702,1.000027,1.005768,0.998455,0.0,4.12421e-08,3.13435e-09,3.13435e-09,0.0,0.0,0.0,98.870941,1.395598,7.24082e-08
H2O,2216736,67024,67024,1,r,2.0,0,33.073765,14,37,1383104,833632,62.394000000000005,1383104,833632,62.394000000000005,0,2216736,0.0,50.077183,44.307007,53.490017,53.467297,50.259617,50.046848,50.703648,1.130232,0.936197,0.936595,0.99637,1.000606,0.987645,0.0,4.13503e-08,5.75423e-10,5.75423e-10,0.0,0.0,0.0,41.538849,1.205551,6.93705e-08
vanbody,2336898,47072,47072,1,r,2.0,0,49.645182,6,232,99786,2237112,4.2700000000000005,118847,2218051,5.086,0,2336898,0.0,44.731712,38.440575,48.359905,48.323967,44.906399,44.848289,45.950848,1.163659,0.924975,0.925663,0.99611,0.997401,0.973469,0.0,3.80137e-08,8.77522e-18,3.95466e-17,0.0,0.0,0.0,36.743584,1.217402,1.1336e-07
Si34H36,5156379,97569,97569,1,r,2.0,0,52.848538,17,494,4488762,667617,87.053,4488762,667617,87.053,0,5156379,0.0,92.249695,75.128189,87.028099,87.086723,92.906013,92.531326,93.874527,1.227897,1.059999,1.059285,0.992936,0.996956,0.982691,0.0,4.66881e-08,3.46305e-09,3.46305e-09,0.0,0.0,0.0,70.761757,1.303666,7.60328e-08
Si41Ge41H72,15011265,185639,185639,1,r,2.0,0,80.862669,13,662,13735462,1275803,91.501,13735462,1275803,91.501,0,15011265,0.0,237.658173,178.469254,202.273849,202.241882,241.195175,241.140289,242.749084,1.331648,1.174933,1.175118,0.985336,0.98556,0.979028,0.0,4.74157e-08,2.57735e-09,2.57735e-09,0.0,0.0,0.0,170.010178,1.397906,7.68851e-08
