matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
oilpan,3597188,73752,73752,1,r,6622.635784,0,48.774108,28,70,1767180,1830008,49.126999999999995,2199300,1397888,61.138999999999996,850619,2746569,23.647000000000002,138.012665,111.893501,141.564896,132.476318,132.02739,131.933182,138.614777,1.233429,0.974907,1.041791,1.045334,1.04608,0.995656,0.0,4.04544e-08,1.10845e-15,1.55606e-10,5.71683e-15,5.71683e-15,5.71683e-15,106.88205,1.291261,7.10959e-08
ASIC_320ks,1827807,321671,321671,0,r,1.313109,0,5.682225,1,412,1827783,24,99.99900000000001,1827783,24,99.99900000000001,1827741,66,99.996,126.362625,102.840317,109.506432,107.69059,102.227966,104.900604,108.893181,1.228727,1.153929,1.173386,1.236087,1.204594,1.160427,0.0,5.67243e-08,1.50993e-13,1.50993e-13,1.50617e-13,1.50617e-13,1.50617e-13,97.164291,1.300505,7.78321e-08
Chebyshev4,5377761,68121,68121,0,r,54.083825,0,78.944246,9,68121,5343556,34205,99.36399999999999,5368574,9187,99.82900000000001,5319251,58510,98.912,829.429749,753.386475,761.147888,765.350525,763.645935,766.84491,761.061401,1.100935,1.089709,1.083725,1.086144,1.081613,1.089833,0.0,4.31512e-08,4.99748e-15,1.61047e-13,1.70751e-13,1.70751e-13,1.70751e-13,736.8479,1.125646,8.61178e-08
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,159012,7180655,2.166,7335725,3942,99.946,7307059,32608,99.556,263.075836,219.497467,279.194336,229.044922,223.879166,222.979065,225.217529,1.198537,0.942268,1.148577,1.17508,1.179823,1.168097,0.0,2.44988e-09,2.71164e-18,2.05848e-14,3.09447e-13,3.09447e-13,3.09447e-13,210.0224,1.252608,3.18666e-08
PR02R,8185136,161070,161070,0,r,303761.12451,0,50.81726,1,92,5659702,2525434,69.146,8128755,56381,99.311,7917648,267488,96.732,290.29068,238.03392,299.828552,250.858337,240.959488,238.285828,244.6633,1.219535,0.968189,1.15719,1.204728,1.218246,1.18649,0.0,5.11676e-08,1.45708e-16,2.3293e-12,1.10684e-12,1.10684e-12,1.10684e-12,227.17543,1.277826,7.46555e-08
ohne2,11063545,181343,181343,0,r,3087214.957937,0,61.008944,15,3441,9892508,1171037,89.415,10868568,194977,98.238,8429613,2633932,76.193,392.555511,314.715149,374.974304,335.474487,336.949249,333.798401,342.191101,1.247336,1.046886,1.17015,1.165029,1.176026,1.147182,0.0,3.74402e-08,8.34341e-17,1.57159e-12,1.84474e-12,1.84474e-12,1.84474e-12,301.440002,1.302267,5.83722e-08
water_tank,2035281,60740,60740,0,r,2664.279807,0,33.508084,8,63,809216,1226065,39.759,1423505,611776,69.941,592450,1442831,29.109,87.776253,74.035202,100.386238,90.833824,85.545982,84.860931,86.096893,1.185602,0.874385,0.966339,1.026071,1.034354,1.019505,0.0,4.56467e-08,1.51322e-16,1.47113e-10,2.12568e-12,2.12568e-12,2.12568e-12,69.996544,1.254008,7.10312e-08
vanbody,2336898,47072,47072,1,r,101780.515518,0,49.645182,6,232,99786,2237112,4.2700000000000005,1893106,443792,81.009,802244,1534654,34.329,89.441277,76.806145,96.66317,87.318527,86.244354,86.943741,91.850754,1.164507,0.925288,1.02431,1.037068,1.028726,0.973767,0.0,3.5891e-08,1.04376e-16,4.54242e-12,2.30195e-12,2.30195e-12,2.30195e-12,73.419777,1.218218,6.77867e-08
ASIC_320k,2635364,321821,321821,0,r,0.910788,0,8.188912,1,203800,2635187,177,99.993,2635187,177,99.993,2635272,92,99.997,4083.452881,3753.9021,3867.119629,3865.307617,4260.373535,3764.86084,4211.116211,1.087789,1.055942,1.056437,0.958473,1.084623,0.969684,0.0,3.14134e-08,1.75447e-13,1.75447e-13,2.39689e-12,2.39689e-12,2.39689e-12,3596.476318,1.135404,4.87425e-08
bmw3_2,11288630,227362,227362,1,r,1342093.715399,0,49.650469,2,336,382006,10906624,3.3840000000000003,11132262,156368,98.615,10367962,920668,91.84400000000001,407.044098,343.351288,434.623901,371.82135,353.321991,345.832458,357.242889,1.185503,0.936543,1.09473,1.152049,1.176998,1.139404,0.0,4.36036e-08,1.02938e-16,1.92871e-12,2.48593e-12,2.48593e-12,2.48593e-12,327.806976,1.241719,8.54035e-08
kkt_power,14612663,2063494,2063494,1,r,54445247.04454,0,7.081515,1,96,2409714,12202949,16.491,14413034,199629,98.634,13405493,1207170,91.739,823.573486,657.088501,870.667908,713.323792,687.506409,692.243469,722.542603,1.253368,0.94591,1.154558,1.197914,1.189717,1.139827,0.0,5.17042e-08,7.9022e-17,3.10769e-12,2.89355e-12,2.89355e-12,2.89355e-12,630.022156,1.307214,7.47041e-08
para-8,5416358,155924,155924,0,r,11929419.281808,0,34.737167,8,6931,4248096,1168262,78.431,5247567,168791,96.884,3783620,1632738,69.855,237.976578,204.805115,264.214386,225.947845,213.745667,216.111099,223.627258,1.161966,0.900695,1.053237,1.113363,1.101177,1.064166,0.0,4.16312e-08,1.58048e-16,5.69331e-12,3.70343e-12,3.70343e-12,3.70343e-12,194.036743,1.226451,5.31891e-08
ESOC,6019939,327062,37830,0,r,5319.044603,0,18.40611,8,19,712391,5307548,11.834,3303535,2716404,54.876999999999995,2928204,3091735,48.642,318.915588,291.921906,355.235199,358.507141,312.457214,313.678833,343.686157,1.092469,0.897759,0.889566,1.02067,1.016695,0.927927,0.0,4.31016e-08,5.07871e-14,2.11477e-10,4.33862e-12,4.33862e-12,4.33862e-12,259.326965,1.229782,6.70071e-08
para-9,5416358,155924,155924,0,r,10441524.348986,0,34.737167,8,6931,4248068,1168290,78.43,5240827,175531,96.759,3769028,1647330,69.586,243.769348,204.756989,264.445892,228.436005,213.94841,216.763397,223.531006,1.19053,0.921812,1.067123,1.139384,1.124587,1.090539,0.0,4.4405e-08,1.1908e-16,8.48557e-12,5.72978e-12,5.72978e-12,5.72978e-12,194.023422,1.256391,5.42575e-08
para-7,5416358,155924,155924,0,r,9470910.719891,0,34.737167,8,6931,4248058,1168300,78.43,5237214,179144,96.693,3765234,1651124,69.516,237.935623,204.792831,264.313171,227.569702,213.651459,216.505341,223.620102,1.161836,0.900203,1.045551,1.113663,1.098983,1.064017,0.0,4.40629e-08,1.34781e-16,9.79106e-12,6.28666e-12,6.28666e-12,6.28666e-12,193.975296,1.226628,6.63691e-08
