matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
2cubes_sphere,1647264,101492,101492,1,r,5142940.067247,0,16.230481,5,31,14840,1632424,0.901,1383773,263491,84.004,1305541,341723,79.255,118.708221,106.883072,128.899963,130.147644,113.965057,113.113091,117.164032,1.110636,0.920933,0.912104,1.041619,1.049465,1.01318,0.0,4.46782e-08,6.12098e-18,6.45605e-11,1.13776e-10,1.13776e-10,1.13776e-10,97.901566,1.212526,3.32111e-05
offshore,4242673,259789,259789,1,r,135017329162.61499,0,16.331226,5,31,628,4242045,0.015,4067680,174993,95.875,4043330,199343,95.301,298.373108,265.872375,312.824219,285.46225,281.402374,266.672119,275.886078,1.122242,0.953804,1.045228,1.060308,1.118876,1.081508,0.0,4.50995e-08,1.42691e-16,1.82894e-11,2.52637e-11,2.52637e-11,2.52637e-11,242.203644,1.23191,3.34349e-05
pre2,5959282,659033,659033,0,r,484883.69767,0,9.042464,1,628,2464565,3494717,41.357,5682088,277194,95.34899999999999,5282099,677183,88.637,591.092712,571.175964,850.380371,610.212524,527.34259,570.847229,589.209595,1.03487,0.695092,0.968667,1.120889,1.035466,1.003196,0.0,4.478e-08,5.32777e-16,9.11651e-12,1.89144e-08,1.89144e-08,1.89144e-08,541.305847,1.091975,2.01543e-05
m_t1,9753570,97578,97578,1,r,84596259.538921,0,99.95665,48,237,150,9753420,0.002,7849265,1904305,80.476,3937731,5815839,40.372,315.678711,241.732605,321.312805,294.702606,292.945923,289.835022,301.418488,1.3059,0.982465,1.071177,1.077601,1.089167,1.04731,0.0,4.60111e-08,2.71545e-15,1.3926e-10,7.09402e-11,7.09402e-11,7.09402e-11,233.646072,1.351098,3.95204e-05
ulevimin,164538,6590,46937,0,r,3145.350073,0,24.96783,1,24973,17508,147030,10.641,160308,4230,97.429,160148,4390,97.332,167.826431,147.856384,212.931778,202.356995,152.317947,153.646072,143.532028,1.135064,0.78817,0.829358,1.101817,1.092292,1.169261,0.0,4.08648e-08,6.15759e-15,7.2302e-12,6.31303e-12,6.31281e-12,6.31222e-12,140.088318,1.198004,5.58915e-05
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,159012,7180655,2.166,7335725,3942,99.946,7307059,32608,99.556,304.620544,267.812866,326.800812,276.477509,277.086212,271.411194,273.967102,1.137438,0.932129,1.101791,1.099371,1.122358,1.111887,0.0,2.75298e-08,7.13621e-15,1.31822e-13,8.37084e-13,8.36188e-13,8.36183e-13,259.589111,1.173472,4.48459e-05
kkt_power,14612663,2063494,2063494,1,r,54445247.04454,0,7.081515,1,96,2409714,12202949,16.491,14413034,199629,98.634,13405493,1207170,91.739,1165.112305,999.050232,1385.716675,1061.532593,1071.457275,1029.939209,1078.894531,1.16622,0.840801,1.097576,1.087409,1.131244,1.079913,0.0,4.89165e-08,4.25651e-14,3.04593e-12,2.85173e-12,2.85173e-12,2.85173e-12,939.873291,1.239648,2.33667e-05
StocF-1465,21005389,1465137,1465137,1,r,108875.813749,0,14.336809,1,189,11469525,9535864,54.603,19858131,1147258,94.538,14201029,6804360,67.607,1288.799194,1074.122803,1676.037598,1205.06604,1162.924072,1173.56543,1238.942749,1.199862,0.768956,1.069484,1.10824,1.098191,1.040241,0.0,4.45266e-08,4.67454e-14,3.47161e-12,1.29929e-10,1.29929e-10,1.29929e-10,1009.957886,1.276092,2.39939e-05
ckt11752_dc_1,333029,49702,49702,0,r,11395.164286,0,6.700515,1,2921,66379,266650,19.932,322433,10596,96.818,290286,42743,87.165,139.473923,132.958206,174.832932,140.333572,138.101761,134.181885,133.773315,1.049006,0.797755,0.993874,1.009936,1.039439,1.042614,0.0,3.83683e-08,5.15264e-14,5.6196e-11,2.04663e-09,2.04663e-09,2.04663e-09,124.802048,1.117561,2.52214e-05
ESOC,6019939,327062,37830,0,r,5319.044603,0,18.40611,8,19,712391,5307548,11.834,3303535,2716404,54.876999999999995,2928204,3091735,48.642,332.588043,290.61734,381.228363,375.50354,318.901245,315.906036,343.918579,1.144419,0.872412,0.885712,1.042919,1.052807,0.967055,0.0,4.36833e-08,5.92324e-14,2.46704e-10,4.3494e-12,4.3494e-12,4.3494e-12,256.780273,1.295224,3.54876e-05
