matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
2cubes_sphere,1647264,101492,101492,1,r,1.0,0,16.230481,5,31,14840,1632424,0.901,1383773,263491,84.004,1305541,341723,79.255,118.494209,107.216896,128.203354,127.790787,114.598915,114.025475,117.178368,1.105182,0.924268,0.927252,1.033991,1.039191,1.011229,0.0,4.46004e-08,1.1312e-17,6.27256e-11,1.15772e-10,1.15772e-10,1.15772e-10,97.60154,1.214061,3.32845e-05
offshore,4242673,259789,259789,1,r,1.0,0,16.331226,5,31,628,4242045,0.015,4067680,174993,95.875,4043330,199343,95.301,299.427826,266.724365,311.750641,287.606293,281.178101,267.841522,276.282379,1.122611,0.960472,1.041103,1.064905,1.117929,1.083775,0.0,4.59486e-08,5.15922e-16,1.85064e-11,2.44326e-11,2.44326e-11,2.44326e-11,242.491394,1.234798,3.4872e-05
pre2,5959282,659033,659033,0,r,1.0,0,9.042464,1,628,2464565,3494717,41.357,5682088,277194,95.34899999999999,5282099,677183,88.637,591.293457,571.24353,850.03418,610.21521,527.434753,573.885437,589.360107,1.035099,0.695611,0.968992,1.121074,1.030334,1.00328,0.0,4.30946e-08,5.35522e-16,9.23199e-12,1.96437e-08,1.96437e-08,1.96437e-08,541.448181,1.092059,1.87397e-05
m_t1,9753570,97578,97578,1,r,1.0,0,99.95665,48,237,150,9753420,0.002,7849265,1904305,80.476,3937731,5815839,40.372,316.906494,241.690628,321.299683,294.576508,292.839417,289.779724,301.351929,1.311207,0.986327,1.075804,1.082185,1.093612,1.051616,0.0,4.56335e-08,3.78324e-15,1.43929e-10,7.29846e-11,7.29846e-11,7.29845e-11,233.538559,1.356977,3.88275e-05
ulevimin,164538,6590,46937,0,r,1.0,0,24.96783,1,24973,17508,147030,10.641,160308,4230,97.429,160148,4390,97.332,161.580032,148.891647,204.096832,200.654343,149.454849,147.832825,143.11731,1.085219,0.791683,0.805266,1.081129,1.092992,1.129004,0.0,2.5558e-08,5.51507e-15,7.86133e-12,7.23003e-12,7.23139e-12,7.22928e-12,139.541504,1.157935,2.93083e-05
kkt_power,14612663,2063494,2063494,1,r,1.0,0,7.081515,1,96,2409714,12202949,16.491,14413034,199629,98.634,13405493,1207170,91.739,1165.897705,1000.604675,1378.448242,1058.244385,1062.757324,1027.46521,1077.424072,1.165193,0.845804,1.101728,1.09705,1.134732,1.082116,0.0,4.89032e-08,3.89902e-14,3.0458e-12,2.80974e-12,2.80974e-12,2.80974e-12,933.568542,1.248861,2.35343e-05
StocF-1465,21005389,1465137,1465137,1,r,1.0,0,14.336809,1,189,11469525,9535864,54.603,19858131,1147258,94.538,14201029,6804360,67.607,1290.947632,1074.687988,1670.809937,1208.09375,1163.60498,1173.519409,1236.709351,1.20123,0.772648,1.068582,1.109438,1.100065,1.043857,0.0,5.10072e-08,4.63597e-14,2.23075e-12,1.01533e-10,1.01533e-10,1.01533e-10,1008.717834,1.279791,1.37706e-05
ckt11752_dc_1,333029,49702,49702,0,r,1.0,0,6.700515,1,2921,66379,266650,19.932,322433,10596,96.818,290286,42743,87.165,139.763718,133.06778,174.916382,140.125381,138.132477,134.223877,133.784576,1.05032,0.799032,0.997419,1.011809,1.041273,1.044692,0.0,3.7252e-08,4.84324e-14,5.40226e-11,3.14556e-09,3.14556e-09,3.14556e-09,124.893181,1.119066,2.35059e-05
ct20stif,2698463,52329,52329,1,r,1.0,0,51.567257,2,207,150053,2548410,5.561,2262690,435773,83.851,371812,2326651,13.779,114.935806,97.03936,124.618271,119.541183,115.15699,113.646591,116.558846,1.184425,0.922303,0.961475,0.998079,1.011344,0.986075,0.0,4.80034e-08,6.16807e-14,2.11291e-12,1.04163e-12,1.03573e-12,1.03365e-12,93.309952,1.231764,4.0599e-05
ckt11752_tr_0,333029,49702,49702,0,r,1.0,0,6.700515,1,2921,107493,225536,32.277,322681,10348,96.893,290615,42414,87.264,139.862015,132.284409,170.452316,142.013947,138.812408,138.130432,134.643707,1.057283,0.820535,0.984847,1.007561,1.012536,1.038756,0.0,3.86379e-08,6.33565e-14,5.6895e-11,1.81951e-09,1.81951e-09,1.81951e-09,125.469696,1.114708,2.06884e-05
ESOC,6019939,327062,37830,0,r,1.0,0,18.40611,8,19,712391,5307548,11.834,3303535,2716404,54.876999999999995,2928204,3091735,48.642,319.324158,291.076111,380.970551,375.242523,319.791107,315.49234,342.192139,1.097047,0.838186,0.850981,0.99854,1.012146,0.933172,0.0,4.91599e-08,6.52327e-14,2.7447e-10,4.884e-12,4.884e-12,4.884e-12,258.975739,1.233027,3.62037e-05
