matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
bloweya,150009,30004,30004,1,r,0.121326,0,4.999633,2,10001,40008,110001,26.669999999999998,40004,110005,26.667999999999996,20002,130007,13.333999999999998,240.678909,220.952576,229.192413,227.090622,222.637054,222.950394,233.059326,1.089279,1.050117,1.059836,1.081037,1.079518,1.032694,0.0,4.20763e-08,5.93196e-12,1.48755e-16,7.84484e-17,7.84484e-17,7.84484e-17,207.910919,1.157606,7.28569e-08
bloweybl,120000,30003,30003,1,r,0.083493,0,3.9996,1,10001,40006,79994,33.338,40002,79998,33.335,20001,99999,16.667,460.303375,435.896332,424.464172,424.431,433.274872,435.208191,435.176453,1.055993,1.084434,1.084519,1.062382,1.057662,1.05774,0.0,2.61043e-08,2.69569e-10,2.37217e-10,1.00371e-16,1.00371e-16,1.00371e-16,408.644623,1.126415,8.6643e-08
oilpan,3597188,73752,73752,1,r,6622.635784,0,48.774108,28,70,1767180,1830008,49.126999999999995,2199300,1397888,61.138999999999996,850619,2746569,23.647000000000002,150.153214,120.419327,151.958969,145.353882,142.178299,140.878845,149.537796,1.24692,0.988117,1.033018,1.056091,1.065832,1.004115,0.0,4.35924e-08,1.02631e-15,1.67033e-10,5.96404e-15,5.96404e-15,5.96404e-15,115.792892,1.296739,7.21993e-08
ASIC_320ks,1827807,321671,321671,0,r,1.313109,0,5.682225,1,412,1827783,24,99.99900000000001,1827783,24,99.99900000000001,1827741,66,99.996,138.218491,111.893501,119.069405,115.628548,110.301186,111.695869,115.804161,1.235268,1.160823,1.195366,1.253101,1.237454,1.193554,0.0,4.48268e-08,1.39801e-13,1.39801e-13,1.38944e-13,1.38944e-13,1.38944e-13,105.363457,1.311826,6.05536e-08
Chebyshev4,5377761,68121,68121,0,r,54.083825,0,78.944246,9,68121,5343556,34205,99.36399999999999,5368574,9187,99.82900000000001,5319251,58510,98.912,892.445679,803.175415,817.791382,820.904602,820.439026,816.880615,817.25238,1.111147,1.091288,1.087149,1.087766,1.092504,1.092007,0.0,2.97017e-08,4.00332e-15,1.32726e-13,1.67212e-13,1.67212e-13,1.67212e-13,785.570801,1.136047,5.92262e-08
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,159012,7180655,2.166,7335725,3942,99.946,7307059,32608,99.556,289.126404,235.182083,302.14798,245.388519,241.173508,238.193665,240.212997,1.229373,0.956903,1.178239,1.198832,1.213829,1.203625,0.0,8.13137e-08,2.71708e-17,2.67211e-14,4.86145e-13,4.86145e-13,4.86145e-13,225.516541,1.282063,3.74271e-08
ASIC_320k,2635364,321821,321821,0,r,0.910788,0,8.188912,1,203800,2635187,177,99.993,2635187,177,99.993,2635272,92,99.997,4338.025391,3966.234619,4047.615723,4046.27417,4535.025879,3962.804199,4426.496094,1.093739,1.071748,1.072104,0.95656,1.094686,0.980013,0.0,3.04342e-08,1.80082e-13,1.80082e-13,8.16979e-13,8.16979e-13,8.16979e-13,3785.32666,1.146011,5.05925e-08
PR02R,8185136,161070,161070,0,r,303761.12451,0,50.81726,1,92,5659702,2525434,69.146,8128755,56381,99.311,7917648,267488,96.732,319.518707,256.566284,319.711182,268.377075,258.970612,256.566284,261.823486,1.245365,0.999398,1.190559,1.233803,1.245365,1.220359,0.0,4.64176e-08,1.69864e-16,2.38333e-12,1.14384e-12,1.14384e-12,1.14384e-12,245.334015,1.302382,7.8178e-08
ct20stif,2698463,52329,52329,1,r,276274.177348,0,51.567257,2,207,150053,2548410,5.561,2262690,435773,83.851,371812,2326651,13.779,113.768448,91.754494,118.041824,111.03373,108.268547,108.464127,112.689156,1.239922,0.963798,1.02463,1.050799,1.048904,1.009578,0.0,4.45244e-08,1.24357e-16,2.49114e-12,1.20774e-12,1.20774e-12,1.20774e-12,87.788544,1.295937,3.92362e-08
vanbody,2336898,47072,47072,1,r,101780.515518,0,49.645182,6,232,99786,2237112,4.2700000000000005,1893106,443792,81.009,802244,1534654,34.329,100.743172,82.273277,107.18486,94.738304,94.384125,94.590973,98.973694,1.224494,0.939901,1.063384,1.067374,1.06504,1.017878,0.0,1.61034e-08,1.52707e-16,2.43723e-12,1.24489e-12,1.24489e-12,1.24489e-12,79.178749,1.272351,1.14135e-07
ohne2,11063545,181343,181343,0,r,3087214.957937,0,61.008944,15,3441,9892508,1171037,89.415,10868568,194977,98.238,8429613,2633932,76.193,429.313019,337.789948,404.054138,362.452789,363.322357,359.407623,368.892914,1.270947,1.062514,1.184466,1.181631,1.194502,1.163788,0.0,4.18682e-08,1.11372e-16,1.26715e-12,1.48415e-12,1.48415e-12,1.48415e-12,325.411835,1.319291,5.88532e-08
bmw3_2,11288630,227362,227362,1,r,1342093.715399,0,49.650469,2,336,382006,10906624,3.3840000000000003,11132262,156368,98.615,10367962,920668,91.84400000000001,445.288452,365.633545,470.055237,400.263123,381.106171,373.324799,382.714874,1.217854,0.947311,1.112489,1.168411,1.192764,1.163499,0.0,2.83184e-08,1.41844e-16,1.83994e-12,2.37204e-12,2.37204e-12,2.37204e-12,353.099762,1.261084,9.54551e-08
kkt_power,14612663,2063494,2063494,1,r,54445247.04454,0,7.081515,1,96,2409714,12202949,16.491,14413034,199629,98.634,13405493,1207170,91.739,888.178711,708.208618,941.444397,758.902344,741.76001,746.70697,776.824829,1.25412,0.943421,1.170347,1.197394,1.189461,1.143345,0.0,4.79657e-08,7.60442e-17,2.93982e-12,2.71976e-12,2.71976e-12,2.71976e-12,676.454407,1.312991,6.81471e-08
para-8,5416358,155924,155924,0,r,11929419.281808,0,34.737167,8,6931,4248096,1168262,78.431,5247567,168791,96.884,3783620,1632738,69.855,266.223602,221.656067,279.180664,242.20755,230.849533,231.623672,239.679489,1.201066,0.953589,1.099155,1.153234,1.14938,1.110748,0.0,5.83921e-08,1.24596e-16,6.53823e-12,4.21019e-12,4.21019e-12,4.21019e-12,207.975418,1.280072,6.69371e-08
ESOC,6019939,327062,37830,0,r,5319.044603,0,18.40611,8,19,712391,5307548,11.834,3303535,2716404,54.876999999999995,2928204,3091735,48.642,353.401855,311.073792,376.824707,384.017731,333.035522,330.673157,364.945404,1.136071,0.937842,0.920275,1.061154,1.068735,0.968369,0.0,4.8252e-08,6.47786e-14,2.69804e-10,4.81671e-12,4.81671e-12,4.81671e-12,274.330627,1.288233,7.51956e-08
para-9,5416358,155924,155924,0,r,10441524.348986,0,34.737167,8,6931,4248068,1168290,78.43,5240827,175531,96.759,3769028,1647330,69.586,265.047028,221.598724,279.680115,244.954559,231.013382,231.77626,239.706116,1.196067,0.947679,1.082025,1.147323,1.143547,1.105717,0.0,4.31518e-08,1.45247e-16,8.4984e-12,5.6458e-12,5.6458e-12,5.6458e-12,207.997955,1.274277,6.07976e-08
para-10,5416358,155924,155924,0,r,9859012.584405,0,34.737167,8,6931,4248070,1168288,78.43,5238435,177923,96.71499999999999,3765326,1651032,69.518,262.846466,221.518845,278.981781,244.864166,230.717438,231.693314,239.65799,1.186565,0.942164,1.073438,1.139257,1.134459,1.096757,0.0,3.84765e-08,1.25867e-16,9.25545e-12,5.96883e-12,5.96883e-12,5.96883e-12,207.849472,1.2646,5.54856e-08
para-6,5416358,155924,155924,0,r,9514219.396477,0,34.737167,8,6931,4248062,1168296,78.43,5237159,179199,96.69200000000001,3763512,1652846,69.484,264.802307,221.581314,278.995941,244.895111,231.316483,231.688187,239.640579,1.195057,0.949126,1.081289,1.144762,1.142925,1.104998,0.0,4.83624e-08,1.45043e-16,1.01258e-11,6.51607e-12,6.51607e-12,6.51607e-12,207.879166,1.273828,7.376e-08
para-5,5416358,155924,155924,0,r,9514219.399477,0,34.737167,8,6931,4248061,1168297,78.43,5237159,179199,96.69200000000001,3763512,1652846,69.484,263.313416,221.640701,279.001343,244.850372,231.356415,231.759872,239.780869,1.188019,0.943771,1.075405,1.138129,1.136148,1.098142,0.0,4.78928e-08,1.22951e-16,1.0283e-11,6.62055e-12,6.62055e-12,6.62055e-12,207.996933,1.265949,6.64893e-08
ulevimin,164538,6590,46937,0,r,3145.350073,0,24.96783,1,24973,17508,147030,10.641,160308,4230,97.429,160148,4390,97.332,172.334076,140.067841,192.53476,145.137604,143.472641,141.814789,141.682693,1.230361,0.89508,1.187384,1.201163,1.215205,1.216338,0.0,7.64784e-08,9.21382e-15,8.33716e-12,7.13181e-12,7.13181e-12,7.13181e-12,131.954681,1.30601,1.05859e-07
para-7,5416358,155924,155924,0,r,9470910.719891,0,34.737167,8,6931,4248058,1168300,78.43,5237214,179144,96.693,3765234,1651124,69.516,265.789429,221.663239,279.439606,244.810654,230.754303,231.913467,239.816711,1.199069,0.951152,1.085694,1.151829,1.146072,1.108302,0.0,4.50893e-08,1.21846e-16,1.04289e-11,7.61284e-12,7.61284e-12,7.61284e-12,207.998978,1.27784,6.02834e-08
dc3,766396,116835,116835,0,r,0.347674,0,6.559644,1,114190,512165,254231,66.828,456265,310131,59.534,221316,545080,28.877000000000002,4161.371094,3898.601562,4332.936035,4339.513184,4003.354736,4061.890625,4384.251953,1.067401,0.960404,0.958949,1.039471,1.024491,0.949163,0.0,3.684e-08,8.2042e-11,9.66225e-12,7.99983e-12,7.99983e-12,7.99983e-12,3694.091309,1.126494,1.58119e-06
