matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
bloweya,150009,30004,30004,1,r,0.121326,0,4.999633,2,10001,40008,110001,26.669999999999998,40004,110005,26.667999999999996,20002,130007,13.333999999999998,208.30394,212.128128,219.410751,218.028198,212.896835,213.160934,224.116379,0.981972,0.949379,0.955399,0.978427,0.977214,0.929445,0.0,4.35625e-08,1.52208e-11,1.6335e-16,8.3461e-17,8.3461e-17,8.3461e-17,199.775803,1.042689,6.90155e-08
bloweybl,120000,30003,30003,1,r,0.083493,0,3.9996,1,10001,40006,79994,33.338,40002,79998,33.335,20001,99999,16.667,390.950745,399.942047,388.080078,387.870605,398.037018,398.944061,399.058868,0.977518,1.007397,1.007941,0.982197,0.979964,0.979682,0.0,2.59801e-08,2.36021e-10,2.33631e-10,1.00089e-16,1.00089e-16,1.00089e-16,374.236725,1.044662,8.50066e-08
oilpan,3597188,73752,73752,1,r,6622.635784,0,48.774108,28,70,1767180,1830008,49.126999999999995,2199300,1397888,61.138999999999996,850619,2746569,23.647000000000002,133.685501,112.01152,139.989029,132.362045,132.146881,131.989853,138.616898,1.193498,0.954971,1.009999,1.011643,1.012847,0.964424,0.0,4.38308e-08,1.03738e-15,1.66159e-10,5.91071e-15,5.91071e-15,5.91071e-15,106.97744,1.249661,7.1544e-08
ASIC_320ks,1827807,321671,321671,0,r,1.313109,0,5.682225,1,412,1827783,24,99.99900000000001,1827783,24,99.99900000000001,1827741,66,99.996,125.876541,102.730049,109.250717,107.692802,102.12397,104.767906,108.855362,1.225314,1.15218,1.168848,1.232586,1.20148,1.156365,0.0,5.85739e-08,1.8516e-13,1.8516e-13,1.84727e-13,1.84727e-13,1.84727e-13,97.111267,1.296209,6.75261e-08
Chebyshev4,5377761,68121,68121,0,r,54.083825,0,78.944246,9,68121,5343556,34205,99.36399999999999,5368574,9187,99.82900000000001,5319251,58510,98.912,834.168762,754.411377,762.112366,767.009033,764.736206,768.182068,762.25592,1.105721,1.094548,1.087561,1.090793,1.0859,1.094342,0.0,5.77748e-08,5.25842e-15,1.76104e-13,2.23948e-13,2.23948e-13,2.23948e-13,737.315125,1.13136,3.15094e-08
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,159012,7180655,2.166,7335725,3942,99.946,7307059,32608,99.556,263.103668,219.531937,279.137756,229.062119,223.878372,222.976578,225.306015,1.198476,0.942559,1.148613,1.175208,1.179961,1.167761,0.0,3.39312e-08,3.86271e-17,7.33857e-14,4.0091e-13,4.0091e-13,4.0091e-13,210.02327,1.252736,2.64717e-08
PR02R,8185136,161070,161070,0,r,303761.12451,0,50.81726,1,92,5659702,2525434,69.146,8128755,56381,99.311,7917648,267488,96.732,290.214905,237.958694,299.721802,250.766144,240.810974,238.139877,244.559235,1.219602,0.968281,1.157313,1.205156,1.218674,1.186686,0.0,4.81844e-08,1.59715e-16,2.14296e-12,1.06546e-12,1.06546e-12,1.06546e-12,227.079651,1.278031,6.90665e-08
ohne2,11063545,181343,181343,0,r,3087214.957937,0,61.008944,15,3441,9892508,1171037,89.415,10868568,194977,98.238,8429613,2633932,76.193,392.409668,314.757263,375.077545,335.302765,336.849243,333.81604,342.254456,1.246706,1.046209,1.170314,1.164942,1.175527,1.146544,0.0,7.27361e-08,1.56696e-16,1.09055e-12,1.29532e-12,1.29532e-12,1.29532e-12,301.457794,1.301707,6.94446e-08
ct20stif,2698463,52329,52329,1,r,276274.177348,0,51.567257,2,207,150053,2548410,5.561,2262690,435773,83.851,371812,2326651,13.779,101.569794,84.708992,108.091843,104.200706,99.486115,100.162148,103.911522,1.199044,0.939662,0.974751,1.020944,1.014054,0.977464,0.0,3.93383e-08,5.1064e-17,3.89814e-12,1.87362e-12,1.87362e-12,1.87362e-12,80.760704,1.257664,5.17154e-08
bmw3_2,11288630,227362,227362,1,r,1342093.715399,0,49.650469,2,336,382006,10906624,3.3840000000000003,11132262,156368,98.615,10367962,920668,91.84400000000001,406.908478,343.214447,434.460693,371.661133,353.002411,345.742035,357.137848,1.185581,0.936583,1.094837,1.152707,1.176914,1.13936,0.0,4.12237e-08,1.23722e-16,1.77045e-12,2.27126e-12,2.27126e-12,2.27126e-12,327.594391,1.242111,5.58459e-08
kkt_power,14612663,2063494,2063494,1,r,54445247.04454,0,7.081515,1,96,2409714,12202949,16.491,14413034,199629,98.634,13405493,1207170,91.739,822.804443,657.102844,870.521729,713.151794,688.315125,692.143311,722.670959,1.25217,0.945185,1.153758,1.195389,1.188778,1.13856,0.0,5.21115e-08,8.01925e-17,3.04493e-12,2.76895e-12,2.76895e-12,2.76895e-12,629.828369,1.306395,7.30951e-08
ASIC_320k,2635364,321821,321821,0,r,0.910788,0,8.188912,1,203800,2635187,177,99.993,2635187,177,99.993,2635272,92,99.997,4084.459961,3755.373047,3866.684814,3864.834717,4262.730469,3763.493164,4211.474121,1.087631,1.056321,1.056827,0.958179,1.085284,0.969841,0.0,4.29551e-08,2.25674e-13,2.25674e-13,2.8813e-12,2.8813e-12,2.8813e-12,3595.012451,1.136146,7.79381e-08
para-8,5416358,155924,155924,0,r,11929419.281808,0,34.737167,8,6931,4248096,1168262,78.431,5247567,168791,96.884,3783620,1632738,69.855,237.751297,204.769531,264.052765,225.74823,213.690842,215.93367,223.422913,1.161068,0.900393,1.05317,1.112595,1.101039,1.064131,0.0,3.77049e-08,2.01591e-16,5.66393e-12,3.56214e-12,3.56214e-12,3.56214e-12,194.027481,1.225349,6.59347e-08
ESOC,6019939,327062,37830,0,r,5319.044603,0,18.40611,8,19,712391,5307548,11.834,3303535,2716404,54.876999999999995,2928204,3091735,48.642,318.934021,292.215546,355.314758,358.442932,312.763367,313.649597,343.773926,1.091434,0.89761,0.889776,1.019729,1.016848,0.927743,0.0,4.85786e-08,6.12445e-14,2.54721e-10,4.85385e-12,4.85385e-12,4.85385e-12,259.531433,1.228884,7.37639e-08
ulevimin,164538,6590,46937,0,r,3145.350073,0,24.96783,1,24973,17508,147030,10.641,160308,4230,97.429,160148,4390,97.332,147.326462,140.649979,184.607071,145.337433,143.512573,142.3367,142.147263,1.047469,0.798054,1.013686,1.026575,1.035056,1.036435,0.0,2.83743e-08,4.70989e-15,5.0299e-12,5.02978e-12,5.02978e-12,5.02978e-12,132.843201,1.109025,5.49912e-08
para-9,5416358,155924,155924,0,r,10441524.348986,0,34.737167,8,6931,4248068,1168290,78.43,5240827,175531,96.759,3769028,1647330,69.586,237.83725,204.815002,264.439636,228.328995,214.192795,216.573761,223.713791,1.16123,0.899401,1.041643,1.110389,1.098181,1.063132,0.0,3.95608e-08,1.6528e-16,9.35943e-12,6.08451e-12,6.08451e-12,6.08451e-12,194.035812,1.225739,5.58876e-08
para-6,5416358,155924,155924,0,r,9514219.396477,0,34.737167,8,6931,4248062,1168296,78.43,5237159,179199,96.69200000000001,3763512,1652846,69.484,246.263138,204.839615,264.236755,227.744064,214.210907,216.635422,223.589371,1.202224,0.931979,1.081315,1.149629,1.136763,1.101408,0.0,4.04966e-08,1.15133e-16,9.64231e-12,6.18001e-12,6.18001e-12,6.18001e-12,194.042725,1.269118,6.00479e-08
para-7,5416358,155924,155924,0,r,9470910.719891,0,34.737167,8,6931,4248058,1168300,78.43,5237214,179144,96.693,3765234,1651124,69.516,237.716675,204.733505,264.214691,227.300797,213.513702,216.436569,223.795456,1.161103,0.89971,1.045824,1.113356,1.09832,1.062205,0.0,3.86562e-08,1.33428e-16,9.92296e-12,6.90044e-12,6.90044e-12,6.90044e-12,193.844955,1.226324,6.37608e-08
para-10,5416358,155924,155924,0,r,9859012.584405,0,34.737167,8,6931,4248070,1168288,78.43,5238435,177923,96.71499999999999,3765326,1651032,69.518,237.75853,204.723495,264.171051,227.962906,213.90921,216.239136,223.524185,1.161364,0.900017,1.04297,1.111493,1.099517,1.063681,0.0,4.56911e-08,1.35313e-16,1.09007e-11,6.91737e-12,6.91737e-12,6.91737e-12,193.909882,1.226129,6.10356e-08
para-5,5416358,155924,155924,0,r,9514219.399477,0,34.737167,8,6931,4248061,1168297,78.43,5237159,179199,96.69200000000001,3763512,1652846,69.484,237.782974,204.771622,263.966003,227.575943,214.113663,216.382278,223.829987,1.161211,0.900809,1.044851,1.110546,1.098902,1.062337,0.0,4.1238e-08,1.25559e-16,1.04168e-11,7.39221e-12,7.39221e-12,7.39221e-12,193.862534,1.226555,5.6118e-08
dc2,766396,116835,116835,0,r,0.346345,0,6.559644,1,114190,496018,270378,64.72099999999999,456745,309651,59.596000000000004,222600,543796,29.044999999999998,3911.020264,3653.316162,4024.943359,4087.378418,3768.962158,3808.403809,4123.999023,1.07054,0.971696,0.956853,1.037692,1.026945,0.948356,0.0,1.28143e-08,7.12083e-11,1.47462e-11,7.40357e-12,7.40357e-12,7.40357e-12,3482.56543,1.123029,9.17248e-07
largebasis,5560100,440020,440020,0,r,0.011514,0,12.636017,4,14,5040080,520020,90.647,4920020,640080,88.488,1400000,4160100,25.179000000000002,268.665222,222.097885,286.133209,285.719147,254.946014,256.46463,262.748993,1.20967,0.938952,0.940312,1.053812,1.047572,1.022517,0.0,4.00367e-08,1.79743e-08,8.69847e-12,8.46395e-12,8.46395e-12,8.46395e-12,203.585983,1.319665,6.53501e-08
barrier2-10,3897557,115625,115625,0,r,10555547.994509,0,33.708601,8,8437,2953459,944098,75.777,3795948,101609,97.393,2965593,931964,76.089,217.03891,180.227386,226.070145,189.564545,192.250626,188.811676,190.570938,1.20425,0.960051,1.144934,1.128937,1.149499,1.138888,0.0,4.42981e-08,1.18129e-16,7.56766e-12,9.56923e-12,9.56923e-12,9.56923e-12,171.022629,1.269065,6.37455e-08
barrier2-9,3897557,115625,115625,0,r,10555548.420123,0,33.708601,8,8437,2954931,942626,75.815,3795948,101609,97.393,2965593,931964,76.089,213.120132,180.292252,224.172836,189.569824,192.305603,188.854752,190.655609,1.182081,0.950696,1.12423,1.108237,1.128487,1.117828,0.0,4.68394e-08,1.32732e-16,7.49176e-12,9.56975e-12,9.56975e-12,9.56975e-12,171.058075,1.245893,6.53419e-08
barrier2-3,3805068,113076,113076,0,r,10230406.584088,0,33.650536,10,7031,2874228,930840,75.53699999999999,3703403,101665,97.328,2874909,930159,75.555,191.870148,163.66188,200.348068,174.197922,175.720581,173.244446,176.879364,1.172357,0.957684,1.101449,1.091905,1.107511,1.084751,0.0,4.41668e-08,1.33012e-16,7.67256e-12,9.9265e-12,9.9265e-12,9.9265e-12,156.13443,1.228878,6.06081e-08
barrier2-12,3897557,115625,115625,0,r,10555551.788214,0,33.708601,8,8437,2953216,944341,75.771,3795948,101609,97.393,2965593,931964,76.089,206.309753,180.277115,223.958054,189.485184,192.251099,188.9599,190.653885,1.144403,0.921198,1.088791,1.073127,1.091818,1.082117,0.0,4.29444e-08,1.2945e-16,7.76969e-12,1.00283e-11,1.00283e-11,1.00283e-11,171.062943,1.206046,5.97679e-08
barrier2-11,3897557,115625,115625,0,r,10555547.985004,0,33.708601,8,8437,2953459,944098,75.777,3795948,101609,97.393,2965593,931964,76.089,206.147491,180.252197,223.802948,189.420029,192.258652,188.885117,190.625381,1.143661,0.921112,1.088309,1.07224,1.091391,1.081427,0.0,4.75461e-08,1.39582e-16,7.95639e-12,1.01409e-11,1.01409e-11,1.01409e-11,171.026627,1.205353,6.84468e-08
barrier2-4,3805068,113076,113076,0,r,10230392.203235,0,33.650536,10,7031,2857763,947305,75.104,3703401,101667,97.328,2874909,930159,75.555,191.979874,163.682816,200.914658,174.234375,175.742523,173.465057,176.990204,1.172877,0.955529,1.101848,1.092393,1.106735,1.084692,0.0,4.29648e-08,1.22172e-16,8.28126e-12,1.05551e-11,1.05551e-11,1.05551e-11,156.199295,1.22907,6.4701e-08
barrier2-1,3805068,113076,113076,0,r,10230398.300083,0,33.650536,10,7031,2881209,923859,75.72,3703406,101662,97.328,2874909,930159,75.555,191.722137,163.600006,200.772797,174.14006,175.636734,173.180252,176.917953,1.171896,0.954921,1.100965,1.091583,1.107067,1.083678,0.0,4.29144e-08,1.21866e-16,8.19514e-12,1.09149e-11,1.09149e-11,1.09149e-11,156.152161,1.22779,5.83608e-08
barrier2-2,3805068,113076,113076,0,r,10230406.908208,0,33.650536,10,7031,2875532,929536,75.571,3703403,101665,97.328,2874909,930159,75.555,191.740479,163.59639,200.597214,174.154297,175.62822,173.438782,176.96666,1.172034,0.955848,1.10098,1.091741,1.105523,1.083484,0.0,5.95057e-08,1.38115e-16,9.15548e-12,1.15799e-11,1.15799e-11,1.15799e-11,156.203262,1.227506,7.28917e-08
