matrix,nnz,rows,cols,sym,type,range-a-p,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-prc,ent-prc,row-prc-a-p,row-prc-a-n,row-prc-f-p,row-prc-f-n,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt-a-p,row-split-rt-a-n,row-split-rt-f-p,row-split-rt-f-n,row-comp-rt-a-p,row-dual-rt-a-p,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup-a-p,row-split-spup-a-n,row-split-spup-f-p,row-split-spup-f-n,row-comp-spup-a-p,row-dual-spup-a-p,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr-a-p,row-split-relerr-a-n,row-split-relerr-f-p,row-split-relerr-f-n,row-comp-relerr-a-p,row-dual-relerr-a-p,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
boyd1,1211231,93279,93279,1,r,1315117.319535,0,12.985034,3,93261,0.0,61.989000000000004,24.998,21.159,0.0,0.0,1691.115112,1627.929321,1686.04895,2978.115967,2082.110107,1976.335083,1688.807617,1689.02002,1969.422974,3710.207031,1.038814,1.003005,0.567847,0.812212,0.855682,1.001366,1.00124,0.858686,0.455801,0.0,4.6605e-08,0.0,2.27993e-10,1.02011e-09,5.67595e-11,0.0,0.0,1.02011e-09,1.02011e-09,1551.086792,1.090278,4.78757e-07
offshore,4242673,259789,259789,1,r,135017329162.61499,0,16.331226,5,31,0.015,95.875,95.301,94.37100000000001,0.0,0.0,267.479218,248.249817,282.091705,266.872101,253.118683,253.36557,268.267334,268.231354,252.751205,258.98114,1.07746,0.9482,1.002275,1.056734,1.055705,0.997062,0.997196,1.058271,1.032813,0.0,4.47984e-08,1.44615e-18,1.8413e-11,2.36109e-11,9.37099e-12,0.0,0.0,2.36109e-11,2.36109e-11,217.776794,1.228226,6.71568e-08
2cubes_sphere,1647264,101492,101492,1,r,5142940.067247,0,16.230481,5,31,0.901,84.004,79.255,71.296,0.0,0.0,106.560127,97.301056,116.677856,116.130814,101.853027,102.811935,108.546684,108.327332,101.128448,104.968513,1.095159,0.913285,0.917587,1.046215,1.036457,0.981699,0.983686,1.053711,1.015163,0.0,4.49954e-08,5.12596e-18,6.46763e-11,1.24662e-10,2.74525e-11,0.0,0.0,1.24662e-10,1.24662e-10,85.596191,1.244917,6.76657e-08
m_t1,9753570,97578,97578,1,r,84596259.538921,0,99.95665,48,237,0.002,80.476,40.372,34.506,0.0,0.0,289.195251,213.142105,293.98468,260.112823,263.777527,268.182831,291.386932,291.391296,262.414795,274.207123,1.356819,0.983709,1.111807,1.09636,1.078351,0.992478,0.992464,1.102054,1.05466,0.0,4.64166e-08,8.40992e-18,1.42232e-10,7.17349e-11,5.96722e-11,0.0,0.0,7.17349e-11,7.17349e-11,204.790375,1.412153,7.88158e-08
pre2,5959282,659033,659033,0,r,484883.69767,0,9.042464,1,628,41.357,95.34899999999999,88.637,88.598,2.48,0.47600000000000003,368.936768,326.350098,459.242462,376.474915,341.246643,342.097473,368.075073,368.608643,346.849609,382.051971,1.130494,0.803359,0.979977,1.081144,1.078455,1.002341,1.00089,1.063679,0.965672,0.0,4.37745e-08,4.02078e-17,9.08853e-12,2.04055e-08,3.99483e-13,1.34037e-17,5.49304e-18,2.04055e-08,2.04055e-08,295.051666,1.250414,5.1376e-08
ct20stif,2698463,52329,52329,1,r,276274.177348,0,51.567257,2,207,5.561,83.851,13.779,2.383,0.0,0.0,105.601982,84.840096,109.695198,105.068672,99.616959,101.383682,102.307007,102.42083,100.26931,104.050591,1.244718,0.962686,1.005076,1.06008,1.041607,1.032207,1.03106,1.053183,1.01491,0.0,5.06304e-08,6.02692e-17,3.3053e-12,1.61019e-12,3.59396e-13,0.0,0.0,1.61019e-12,1.61019e-12,80.914749,1.305102,6.63361e-08
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,2.166,99.946,99.556,99.386,0.0,0.0,262.943512,219.379547,279.009216,229.025726,223.769501,225.28627,263.112854,263.117828,222.925568,225.251877,1.198578,0.942419,1.148096,1.175064,1.167153,0.999356,0.999337,1.179513,1.167331,0.0,4.11427e-08,8.25068e-17,7.59128e-14,7.08065e-13,5.50721e-14,5.88965e-17,0.0,7.08065e-13,7.08065e-13,210.020004,1.251993,1.06152e-07
kkt_power,14612663,2063494,2063494,1,r,54445247.04454,0,7.081515,1,96,16.491,98.634,91.739,91.459,0.49,0.0,822.688049,656.986877,870.589417,712.77832,687.321045,689.585999,813.873535,809.271118,692.104797,722.571045,1.252214,0.944978,1.154199,1.196949,1.193017,1.01083,1.016579,1.188676,1.138557,0.0,4.87342e-08,8.56213e-17,3.06813e-12,2.82603e-12,1.66291e-12,3.44308e-14,0.0,2.82603e-12,2.82603e-12,629.736572,1.3064,6.87373e-08
bmw3_2,11288630,227362,227362,1,r,1342093.715399,0,49.650469,2,336,3.3840000000000003,98.615,91.84400000000001,83.967,0.105,0.06899999999999999,406.896851,343.336731,434.667084,371.81723,353.135345,356.600586,407.93692,408.079285,345.863739,357.25827,1.185125,0.936111,1.094346,1.152241,1.141044,0.99745,0.997102,1.176466,1.138943,0.0,4.70414e-08,9.84063e-17,2.4458e-12,3.1809e-12,1.46964e-12,1.77144e-19,8.83097e-20,3.1809e-12,3.1809e-12,327.735229,1.241541,6.89604e-08
para-8,5416358,155924,155924,0,r,11929419.281808,0,34.737167,8,6931,78.431,96.884,69.855,68.64099999999999,3.628,1.812,237.864059,204.820541,264.161346,225.828583,213.893539,214.661819,260.186218,260.162781,215.98819,223.453598,1.161329,0.90045,1.053295,1.112068,1.108087,0.914207,0.914289,1.101283,1.06449,0.0,3.88953e-08,1.1166e-16,5.71148e-12,3.56191e-12,1.27268e-12,1.63622e-17,1.26651e-19,3.56191e-12,3.56191e-12,193.991623,1.226156,4.65041e-08
