matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
ted_A_unscaled,424587,10605,10605,0,r,2136533594.832822,0,40.036492,1,147,160457,264130,37.791000000000004,279141,145446,65.744,144088,280499,33.936,14.90112,13.901056,16.659201,15.553792,14.696704,14.614976,14.7056,1.071942,0.894468,0.958038,1.013909,1.019579,1.013296,0.0,4.13341e-08,1.65997e-16,1.07535e-10,7.06386e-18,7.06386e-18,7.06386e-18,13.314432,1.119171,7.35683e-08
oilpan,3597188,73752,73752,1,r,6622.635784,0,48.774108,28,70,1767180,1830008,49.126999999999995,2199300,1397888,61.138999999999996,850619,2746569,23.647000000000002,69.019554,56.012222,70.784927,66.293182,66.067009,65.967491,69.353149,1.232223,0.97506,1.041126,1.04469,1.046266,0.99519,0.0,4.40983e-08,1.24792e-15,1.78933e-10,6.4058e-15,6.4058e-15,6.4058e-15,53.50259,1.290023,7.39745e-08
ex35,228208,19716,19716,0,r,24080.204405,0,11.574762,1,18,134709,93499,59.028999999999996,136820,91388,59.95399999999999,103850,124358,45.507,12.087072,11.741888,12.693152,12.643744,12.094784,12.088096,13.179616,1.029398,0.952251,0.955973,0.999362,0.999915,0.917104,0.0,4.39894e-08,2.59083e-15,8.0057e-11,1.29716e-14,1.29716e-14,1.29716e-14,11.521056,1.049129,7.00178e-08
Chebyshev4,5377761,68121,68121,0,r,54.083825,0,78.944246,9,68121,5343556,34205,99.36399999999999,5368574,9187,99.82900000000001,5319251,58510,98.912,414.944275,376.719849,380.663666,383.03537,381.86673,383.577087,380.709961,1.101466,1.090055,1.083305,1.086621,1.081775,1.089922,0.0,3.90968e-08,3.28574e-15,1.06688e-13,1.50333e-13,1.50333e-13,1.50333e-13,368.270355,1.126738,1.05321e-07
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,159012,7180655,2.166,7335725,3942,99.946,7307059,32608,99.556,134.162308,109.74102,139.525787,114.525406,111.93811,111.491234,112.610237,1.222536,0.961559,1.171463,1.19854,1.203344,1.191386,0.0,1.22091e-08,5.11092e-17,2.43474e-14,1.51745e-13,1.51745e-13,1.51745e-13,105.010208,1.277612,4.45772e-08
ASIC_320ks,1827807,321671,321671,0,r,1.313109,0,5.682225,1,412,1827783,24,99.99900000000001,1827783,24,99.99900000000001,1827741,66,99.996,63.296959,51.390209,55.234688,54.734463,51.568321,52.421856,54.444031,1.231693,1.145964,1.156437,1.227439,1.207454,1.162606,0.0,3.81667e-08,1.54467e-13,1.54467e-13,1.52822e-13,1.52822e-13,1.52822e-13,48.548161,1.303797,6.17593e-08
ex19,259879,12005,12005,0,r,12698.154134,0,21.647564,1,50,116904,142975,44.984,154647,105232,59.507,86392,173487,33.243,14.258816,13.722784,15.789664,15.733984,14.417856,14.265536,14.627712,1.039061,0.903047,0.906243,0.988969,0.999529,0.974781,0.0,4.52399e-08,2.23452e-16,1.62062e-10,2.79378e-13,2.79378e-13,2.79378e-13,13.252608,1.075925,7.19397e-08
ASIC_320k,2635364,321821,321821,0,r,0.910788,0,8.188912,1,203800,2635187,177,99.993,2635187,177,99.993,2635272,92,99.997,2042.361206,1876.901611,1932.917358,1932.916138,2130.23877,1881.070801,2104.420166,1.088156,1.056621,1.056622,0.958748,1.085744,0.97051,0.0,3.71622e-08,1.87388e-13,1.87388e-13,4.09891e-13,4.09891e-13,4.09891e-13,1797.309204,1.136344,3.70673e-08
PR02R,8185136,161070,161070,0,r,303761.12451,0,50.81726,1,92,5659702,2525434,69.146,8128755,56381,99.311,7917648,267488,96.732,147.542694,119.014275,149.95549,125.394081,120.449982,119.054398,122.341377,1.239706,0.98391,1.176632,1.224929,1.239288,1.205992,0.0,4.26548e-08,1.61216e-16,2.17781e-12,1.04045e-12,1.04045e-12,1.04045e-12,113.51709,1.29974,6.80859e-08
vanbody,2336898,47072,47072,1,r,101780.515518,0,49.645182,6,232,99786,2237112,4.2700000000000005,1893106,443792,81.009,802244,1534654,34.329,44.728161,38.455231,48.361919,43.675167,43.119232,43.480961,45.939678,1.163123,0.924863,1.02411,1.037313,1.028684,0.973628,0.0,7.14915e-08,1.67998e-16,3.68612e-12,1.91821e-12,1.91821e-12,1.91821e-12,36.753441,1.216979,8.31973e-08
