matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
s3dkt3m2,3753461,90449,90449,1,r,0.269393,0,41.498093,7,42,3663012,90449,97.59,3123723,629738,83.222,0,3753461,0.0,74.699936,66.835396,77.785309,77.00573,74.528259,74.006401,75.715805,1.11767,0.960335,0.970057,1.002304,1.009371,0.986583,0.0,3.79453e-08,3.4673e-08,1.06425e-08,0.0,0.0,0.0,63.864513,1.169663,7.19504e-08
appu,1853104,14000,14000,0,r,0.129279,0,132.364571,12,294,1839104,14000,99.245,1589233,263871,85.761,925,1852179,0.05,33.878048,25.309568,27.216543,28.495712,33.558624,33.352928,33.52253,1.338547,1.244759,1.188882,1.009518,1.015744,1.010605,0.0,3.74975e-08,3.3005e-08,1.59805e-08,4.84527e-10,4.84527e-10,4.84527e-10,23.957409,1.414095,7.92678e-08
bbmat,1771722,38744,38744,0,r,0.200154,0,45.728939,6,126,1732977,38745,97.813,1591335,180387,89.819,3922,1767800,0.22100000000000003,35.009983,28.559999,34.073696,35.013119,35.162495,35.019489,35.113186,1.22584,1.027478,0.99991,0.995663,0.999729,0.997061,0.0,3.61003e-08,3.01043e-08,7.16994e-09,1.54912e-09,1.54912e-09,1.54912e-09,27.298401,1.282492,6.66117e-08
TSOPF_RS_b39_c30,1079986,60098,60098,0,r,0.338558,0,17.970415,2,32,960488,119498,88.935,960324,119662,88.92,10244,1069742,0.9490000000000001,33.722752,29.959455,39.869122,39.854721,33.905697,34.265823,34.738689,1.125613,0.845836,0.846142,0.994604,0.984151,0.970755,0.0,2.89289e-08,1.21514e-08,1.20972e-08,2.05443e-09,2.05443e-09,2.05443e-09,27.621153,1.220903,5.79391e-08
rim,1014951,22560,22560,0,r,0.238466,0,44.988963,1,112,991750,23201,97.714,875580,139371,86.268,10037,1004914,0.989,22.654144,19.602049,22.68368,23.342112,23.333952,22.628,22.94128,1.155703,0.998698,0.970527,0.970866,1.001155,0.987484,0.0,3.75417e-08,3.34837e-08,1.16083e-08,2.67333e-09,2.67333e-09,2.67333e-09,18.824608,1.203432,7.16376e-08
power9,2512300,155376,155376,0,r,0.306332,0,16.169164,9,3744,2356132,156168,93.784,2063476,448824,82.135,42502,2469798,1.6920000000000002,83.05658,75.734077,101.358429,102.292931,81.758591,82.864861,85.634941,1.096687,0.819434,0.811948,1.015876,1.002314,0.969891,0.0,3.44037e-08,2.66455e-08,1.14801e-09,3.17472e-09,3.17472e-09,3.17472e-09,67.813309,1.224783,5.46489e-08
case39,1042160,40216,40216,1,r,0.283453,0,25.914064,1,20024,972094,70066,93.277,922886,119274,88.55499999999999,254802,787358,24.449,114.239105,101.748962,107.53344,110.530174,121.271233,118.951073,119.266594,1.122754,1.062359,1.033556,0.942013,0.960387,0.957847,0.0,3.47356e-08,2.47213e-08,3.51315e-09,3.42135e-09,3.42135e-09,3.42135e-09,99.380127,1.149517,6.00154e-08
ASIC_320k,2635364,321821,321821,0,r,0.427013,0,8.188912,1,203800,2313543,321821,87.788,1713268,922096,65.011,496864,2138500,18.854000000000003,2041.630981,1877.592529,1955.546631,1962.83374,2133.932617,2108.273193,2132.230957,1.087366,1.044021,1.040145,0.956746,0.96839,0.957509,0.0,3.35008e-08,2.56826e-08,4.15906e-09,3.42907e-09,3.42907e-09,3.42907e-09,1798.274902,1.135328,4.93411e-08
TSOPF_FS_b39_c19,1977600,76216,76216,1,r,0.268433,0,25.947308,1,38024,1844954,132646,93.293,1827590,150010,92.415,489128,1488472,24.733,219.009537,205.401947,212.004578,212.784134,223.67308,223.398651,222.266266,1.066249,1.033042,1.029257,0.97915,0.980353,0.985348,0.0,2.95908e-08,1.44844e-08,1.31075e-08,4.05166e-09,4.05166e-09,4.05166e-09,197.341446,1.1098,5.85098e-08
TSOPF_FS_b39_c30,3121160,120216,120216,1,r,0.268384,0,25.962933,1,60024,2911844,209316,93.294,2884580,236580,92.42,771487,2349673,24.718,345.558228,330.110626,332.53299,330.967072,354.602386,353.118652,354.328339,1.046795,1.03917,1.044086,0.974495,0.97859,0.975249,0.0,2.95749e-08,1.46242e-08,1.31614e-08,4.07271e-09,4.07271e-09,4.07271e-09,315.519531,1.095204,5.88399e-08
