==90682== NVPROF is profiling process 90682, command: ./bin/spmv -m ./res/barrier2-9.mtx --prof --opt 1 --dd-p 99
==90682== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==90682== Profiling application: ./bin/spmv -m ./res/barrier2-9.mtx --prof --opt 1 --dd-p 99
==90682== Profiling result:
==90682== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                             inst_per_warp                                            Instructions per warp  1.2400e+03  1.2400e+03  1.2400e+03
          1                         branch_efficiency                                                Branch Efficiency      80.48%      80.48%      80.48%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      77.73%      77.73%      77.73%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      73.92%      73.92%      73.92%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.011986    0.011986    0.011986
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    1.907300    1.907300    1.907300
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.796354    1.796354    1.796354
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    4.106900    4.106900    4.106900
          1              gst_transactions_per_request                            Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                                        Shared Store Transactions     1661627     1661627     1661627
          1                  shared_load_transactions                                         Shared Load Transactions     2205316     2205316     2205316
          1                   local_load_transactions                                          Local Load Transactions           0           0           0
          1                  local_store_transactions                                         Local Store Transactions           0           0           0
          1                          gld_transactions                                         Global Load Transactions     4454787     4454787     4454787
          1                          gst_transactions                                        Global Store Transactions      115625      115625      115625
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions     2615157     2615157     2615157
          1                     l2_write_transactions                                            L2 Write Transactions      118951      118951      118951
          1                    dram_read_transactions                                  Device Memory Read Transactions     1232286     1232286     1232286
          1                   dram_write_transactions                                 Device Memory Write Transactions       90581       90581       90581
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      45.00%      45.00%      45.00%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
