==86805== NVPROF is profiling process 86805, command: ./bin/spmv -m ./res/pwtk.mtx --prof --opt 1 --dd-p 99
==86805== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==86805== Profiling application: ./bin/spmv -m ./res/pwtk.mtx --prof --opt 1 --dd-p 99
==86805== Profiling result:
==86805== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                             inst_per_warp                                            Instructions per warp  1.1832e+03  1.1832e+03  1.1832e+03
          1                         branch_efficiency                                                Branch Efficiency      79.44%      79.44%      79.44%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      83.07%      83.07%      83.07%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      79.13%      79.13%      79.13%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.010201    0.010201    0.010201
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    1.930661    1.930661    1.930661
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.796849    1.796849    1.796849
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    3.565515    3.565515    3.565515
          1              gst_transactions_per_request                            Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                                        Shared Store Transactions     3132526     3132526     3132526
          1                  shared_load_transactions                                         Shared Load Transactions     4207257     4207257     4207257
          1                   local_load_transactions                                          Local Load Transactions           0           0           0
          1                  local_store_transactions                                         Local Store Transactions           0           0           0
          1                          gld_transactions                                         Global Load Transactions    10038307    10038307    10038307
          1                          gst_transactions                                        Global Store Transactions      217918      217918      217918
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions     5711848     5711848     5711848
          1                     l2_write_transactions                                            L2 Write Transactions      224327      224327      224327
          1                    dram_read_transactions                                  Device Memory Read Transactions     4313908     4313908     4313908
          1                   dram_write_transactions                                 Device Memory Write Transactions      165626      165626      165626
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      44.54%      44.54%      44.54%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
