==85434== NVPROF is profiling process 85434, command: ./bin/spmv -m ./res/shipsec1.mtx --prof --opt 1 --dd-p 99
==85434== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==85434== Profiling application: ./bin/spmv -m ./res/shipsec1.mtx --prof --opt 1 --dd-p 99
==85434== Profiling result:
==85434== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                             inst_per_warp                                            Instructions per warp  1.2280e+03  1.2280e+03  1.2280e+03
          1                         branch_efficiency                                                Branch Efficiency      80.29%      80.29%      80.29%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      87.23%      87.23%      87.23%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      83.04%      83.04%      83.04%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.011364    0.011364    0.011364
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    1.918506    1.918506    1.918506
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.794818    1.794818    1.794818
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    4.399750    4.399750    4.399750
          1              gst_transactions_per_request                            Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                                        Shared Store Transactions     2022745     2022745     2022745
          1                  shared_load_transactions                                         Shared Load Transactions     2702676     2702676     2702676
          1                   local_load_transactions                                          Local Load Transactions           0           0           0
          1                  local_store_transactions                                         Local Store Transactions           0           0           0
          1                          gld_transactions                                         Global Load Transactions     6711198     6711198     6711198
          1                          gst_transactions                                        Global Store Transactions      140874      140874      140874
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions     3650938     3650938     3650938
          1                     l2_write_transactions                                            L2 Write Transactions      145089      145089      145089
          1                    dram_read_transactions                                  Device Memory Read Transactions     2448047     2448047     2448047
          1                   dram_write_transactions                                 Device Memory Write Transactions       69092       69092       69092
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      48.18%      48.18%      48.18%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
