==48288== NVPROF is profiling process 48288, command: ./bin/spmv -m ./res/mesh1e1.mtx --spmv-i 1 --no-jacobi --prof
==48288== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==48288== Profiling application: ./bin/spmv -m ./res/mesh1e1.mtx --spmv-i 1 --no-jacobi --prof
==48288== Profiling result:
==48288== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce 940M (0)"
    Kernel: kernel_spmv_CSR_vector_Mixed(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          7                             sm_efficiency                                               Multiprocessor Activity      20.37%      55.29%      40.31%
          7                        achieved_occupancy                                                    Achieved Occupancy    0.242903    0.247971    0.245627
          7                                       ipc                                                          Executed IPC    0.259827    0.573534    0.354395
          7                                issued_ipc                                                            Issued IPC    0.291022    0.601814    0.363195
          7                             inst_per_warp                                                 Instructions per warp  103.000000  107.000000  105.285714
          7                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          7                 warp_execution_efficiency                                             Warp Execution Efficiency      66.93%      68.89%      67.76%
          7         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      58.29%      59.91%      58.98%
          7                      inst_replay_overhead                                           Instruction Replay Overhead    0.041861    0.054888    0.046262
          7                    issue_slot_utilization                                                Issue Slot Utilization       6.75%      13.91%       8.41%
          7      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.500000    1.500000    1.500000
          7     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.750000    1.750000    1.750000
          7       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          7      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          7              gld_transactions_per_request                                  Global Load Transactions Per Request    2.045833    2.287500    2.142262
          7              gst_transactions_per_request                                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          7                 shared_store_transactions                                             Shared Store Transactions         672         672         672
          7                  shared_load_transactions                                              Shared Load Transactions         720         720         720
          7                   local_load_transactions                                               Local Load Transactions           0           0           0
          7                  local_store_transactions                                              Local Store Transactions           0           0           0
          7                          gld_transactions                                              Global Load Transactions         491         549         514
          7                          gst_transactions                                             Global Store Transactions          48          48          48
          7                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          7                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          7                      l2_read_transactions                                                  L2 Read Transactions         426        1608         676
          7                     l2_write_transactions                                                 L2 Write Transactions          54          54          54
          7                    dram_read_transactions                                       Device Memory Read Transactions         104         911         429
          7                   dram_write_transactions                                      Device Memory Write Transactions          24         500         148
          7                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          7                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          7                  gld_requested_throughput                                      Requested Global Load Throughput  392.77MB/s  1.1986GB/s  745.52MB/s
          7                  gst_requested_throughput                                     Requested Global Store Throughput  38.716MB/s  79.507MB/s  60.215MB/s
          7                            gld_throughput                                                Global Load Throughput  1.2770GB/s  3.0669GB/s  2.1141GB/s
